time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00070,0.05161,0.11874,1,0,0,MODEL,-0.3340,0.100,0.0000,0,none
0.024,1,0.00070,0.05161,0.11874,1,0,0,MODEL,-0.3340,0.100,0.0000,0,none
0.074,2,0.00068,0.04225,0.10835,1,0,0,MODEL,-0.3251,0.100,0.0179,0,none
0.123,3,0.00068,0.04572,0.09691,1,0,0,MODEL,-0.3284,0.100,0.0301,0,none
0.175,4,0.00035,-0.02302,0.08868,1,0,0,MODEL,-0.2631,0.100,0.0388,0,none
0.225,5,-0.00034,0.00890,0.11544,1,0,0,MODEL,-0.2935,0.100,0.0510,0,none
0.275,6,-0.00104,-0.03086,0.11038,1,0,0,MODEL,-0.2557,0.100,0.0641,0,none
0.324,7,-0.00225,0.08269,0.12129,1,0,0,MODEL,-0.3636,0.100,0.0713,0,none
0.375,8,-0.00360,0.07355,0.22726,0,1,0,FALLBACK,-1.0000,0.100,0.0861,0,none
0.423,9,-0.00729,0.04422,0.10860,1,1,0,FALLBACK,-1.0000,0.100,0.0979,0,none
0.474,10,-0.01349,-0.02919,0.09355,1,1,0,FALLBACK,-1.0000,0.100,0.1087,0,none
0.525,11,-0.02066,-0.07963,0.08475,1,1,0,FALLBACK,-1.0000,0.100,0.1204,0,none
0.573,12,-0.02894,-0.12337,0.09055,1,1,0,FALLBACK,-1.0000,0.100,0.1314,0,none
8.167,13,0.22808,0.11556,0.60746,0,1,0,FALLBACK,-1.0000,0.100,0.2022,0,none
8.218,14,0.22853,0.12056,0.58609,0,1,0,FALLBACK,-1.0000,0.100,0.0873,0,none
8.267,15,0.22865,0.16494,0.62382,0,1,0,FALLBACK,-1.0000,0.100,0.0240,0,none
8.315,16,0.22743,0.07287,0.61761,0,1,0,FALLBACK,-1.0000,0.100,0.0291,0,none
8.366,17,0.22544,0.00907,0.77418,0,1,0,FALLBACK,-1.0000,0.100,0.0425,0,none
8.418,18,0.22275,0.17722,0.74175,0,1,0,FALLBACK,-1.0000,0.100,0.0545,0,none
8.468,19,0.21907,0.18248,0.70327,0,1,0,FALLBACK,-1.0000,0.100,0.0642,0,none
8.519,20,0.21447,0.32908,0.67164,0,1,0,FALLBACK,-1.0000,0.100,0.0776,0,none
8.549,21,0.20920,0.12031,0.65208,0,1,0,FALLBACK,-1.0000,0.100,0.0902,0,none
8.601,22,0.20334,0.07953,0.59025,0,1,0,FALLBACK,-1.0000,0.100,0.1010,0,none
8.649,23,0.19650,-0.05862,0.50761,0,1,0,FALLBACK,-1.0000,0.100,0.1117,0,none
8.701,24,0.18854,-0.17811,0.44205,0,1,0,FALLBACK,-1.0000,0.100,0.1233,0,none
