time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00285,0.16407,0.65671,0,1,0,FALLBACK,-1.0000,0.100,0.0000,0,none
0.026,1,0.00285,0.16416,0.65621,0,1,0,FALLBACK,-1.0000,0.100,0.0000,0,none
0.062,2,0.00257,0.12724,0.59955,0,1,0,FALLBACK,-1.0000,0.100,0.0120,0,none
0.114,3,0.00170,0.11449,0.60967,0,1,0,FALLBACK,-1.0000,0.100,0.0163,0,none
0.163,4,0.00039,0.11776,0.50218,0,1,0,FALLBACK,-1.0000,0.100,0.0352,0,none
0.212,5,-0.00171,0.06816,0.82764,0,1,0,FALLBACK,-1.0000,0.100,0.0479,0,none
0.265,6,-0.00453,0.08675,0.68744,0,1,0,FALLBACK,-1.0000,0.100,0.0587,0,none
0.315,7,-0.00825,0.08391,0.61955,0,1,0,FALLBACK,-1.0000,0.100,0.0710,0,none
0.365,8,-0.01295,0.20171,0.72352,0,1,0,FALLBACK,-1.0000,0.100,0.0802,0,none
0.417,9,-0.01823,-0.02014,0.62388,0,1,0,FALLBACK,-1.0000,0.100,0.0907,0,none
0.466,10,-0.02421,-0.06368,0.55691,0,1,0,FALLBACK,-1.0000,0.100,0.1045,0,none
0.514,11,-0.03118,-0.22560,0.51784,0,1,0,FALLBACK,-1.0000,0.100,0.1143,0,none
0.565,12,-0.03928,-0.21767,0.41819,0,1,0,FALLBACK,-1.0000,0.100,0.1259,0,none
0.617,13,-0.04858,-0.19395,0.43550,0,1,0,FALLBACK,-1.0000,0.100,0.1369,0,none
0.668,14,-0.05594,-0.24066,0.39135,0,1,0,FALLBACK,-1.0000,0.100,0.1613,0,none
0.716,15,-0.06286,-0.19100,0.35544,0,1,0,FALLBACK,-1.0000,0.100,0.1589,0,none
0.767,16,-0.08687,-0.12881,0.33302,0,1,0,FALLBACK,-0.9456,0.100,0.1740,0,none
0.818,17,-0.10031,-0.07713,0.29918,0,1,0,FALLBACK,-0.9312,0.100,0.1800,0,none
0.866,18,-0.11547,-0.04029,0.27869,0,1,0,FALLBACK,-0.8469,0.100,0.1908,0,none
0.917,19,-0.13315,-0.06614,0.24823,0,1,0,FALLBACK,-0.7458,0.100,0.2013,0,none
0.968,20,-0.15154,-0.14061,0.29517,0,1,0,FALLBACK,-0.6504,0.100,0.2121,0,none
1.014,21,-0.17064,-0.07206,0.26196,0,1,0,FALLBACK,-0.5513,0.100,0.2228,0,none
1.068,22,-0.19038,-0.10692,0.24885,0,1,0,FALLBACK,-0.4495,0.100,0.2335,0,none
1.118,23,-0.21057,-0.09131,0.25777,0,1,0,FALLBACK,-0.3462,0.100,0.2441,0,none
1.167,24,-0.23103,-0.10096,0.27831,0,1,0,FALLBACK,-0.2426,0.100,0.2546,0,none
1.218,25,-0.25704,-0.14501,0.27037,0,1,0,FALLBACK,-0.0848,0.100,0.2647,0,none
1.269,26,-0.27720,-0.12487,0.29513,0,1,0,FALLBACK,-0.0132,0.100,0.2753,0,none
1.318,27,-0.29112,-0.15814,0.25465,0,1,0,FALLBACK,0.0252,0.100,0.2849,0,none
1.366,28,-0.30928,-0.19725,0.27026,0,1,0,FALLBACK,0.1372,0.100,0.2956,0,none
1.419,29,-0.32792,-0.19358,0.24538,0,1,0,FALLBACK,0.2328,0.100,0.3051,0,none
1.467,30,-0.34493,-0.18110,0.24097,0,1,0,FALLBACK,0.3097,0.100,0.3147,0,none
1.516,31,-0.35358,-0.18524,0.26115,0,1,0,FALLBACK,0.3111,0.100,0.3245,0,none
1.566,32,-0.36877,-0.19435,0.24711,0,1,0,FALLBACK,0.4198,0.100,0.3340,0,none
1.617,33,-0.38753,-0.28297,0.33585,0,1,0,FALLBACK,0.5315,0.100,0.3435,0,none
1.668,34,-0.39656,-0.25839,0.32742,0,1,0,FALLBACK,0.5280,0.100,0.3517,0,none
1.719,35,-0.40384,-0.28385,0.34562,0,1,0,FALLBACK,0.5555,0.100,0.3610,0,none
1.766,36,-0.40916,-0.29544,0.33476,0,1,0,FALLBACK,0.5724,0.100,0.3700,0,none
1.819,37,-0.41206,-0.29355,0.31468,0,1,0,FALLBACK,0.5749,0.100,0.3790,0,none
1.868,38,-0.41705,-0.25280,0.23809,0,1,0,FALLBACK,0.6101,0.100,0.3920,0,none
1.918,39,-0.41072,-0.21376,0.23711,0,1,0,FALLBACK,0.5219,0.100,0.3965,0,none
1.970,40,-0.40646,-0.20738,0.20737,0,1,0,FALLBACK,0.5110,0.100,0.4057,0,none
2.018,41,-0.40071,-0.21204,0.26299,0,1,0,FALLBACK,0.4749,0.100,0.4144,0,none
2.071,42,-0.39294,-0.22038,0.26946,0,1,0,FALLBACK,0.4258,0.100,0.4231,0,none
2.118,43,-0.38305,-0.18230,0.25271,0,1,0,FALLBACK,0.3658,0.100,0.4317,0,none
2.168,44,-0.37184,-0.11510,0.20865,0,1,0,FALLBACK,0.3031,0.100,0.4404,0,none
2.218,45,-0.35980,-0.14110,0.22077,0,1,0,FALLBACK,0.2388,0.100,0.4489,0,none
2.267,46,-0.34719,-0.12170,0.21757,0,1,0,FALLBACK,0.1729,0.100,0.4573,0,none
2.319,47,-0.33498,-0.09643,0.19499,0,1,0,FALLBACK,0.1139,0.100,0.4657,0,none
2.368,48,-0.32310,-0.09507,0.20944,0,1,0,FALLBACK,0.0561,0.100,0.4739,0,none
2.420,49,-0.31174,-0.06439,0.19598,0,1,0,FALLBACK,0.0019,0.100,0.4820,0,none
2.470,50,-0.30123,-0.08892,0.20553,0,1,0,FALLBACK,-0.0464,0.100,0.4900,0,none
2.520,51,-0.29182,-0.15036,0.22040,0,1,0,FALLBACK,-0.0879,0.100,0.4979,0,none
2.570,52,-0.28373,-0.11447,0.21930,0,1,0,FALLBACK,-0.1218,0.100,0.5057,0,none
2.621,53,-0.27710,-0.17051,0.24276,0,1,0,FALLBACK,-0.1476,0.100,0.5134,0,none
2.672,54,-0.27205,-0.20232,0.23146,0,1,0,FALLBACK,-0.1651,0.100,0.5210,0,none
