time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00276,0.16151,0.65048,0,0,0,MODEL,-0.4384,0.100,0.0000,0,none
0.103,1,0.00276,0.15715,0.64694,0,0,0,MODEL,-0.4343,0.100,0.0000,0,none
0.160,2,0.00269,0.11784,0.63253,0,0,0,MODEL,-0.3969,0.100,0.0126,0,none
0.199,3,0.00244,0.11996,0.59341,0,0,0,MODEL,-0.3990,0.100,0.0246,0,none
0.247,4,0.00212,0.05373,0.51860,0,0,0,MODEL,-0.3360,0.100,0.0345,0,none
0.299,5,0.00126,0.13094,0.68850,0,0,0,MODEL,-0.4094,0.100,0.0472,0,none
0.347,6,0.00041,0.13622,0.62260,0,0,0,MODEL,-0.4144,0.100,0.0628,0,none
0.399,7,-0.00120,0.07292,0.63972,0,0,0,MODEL,-0.3543,0.100,0.0728,0,none
0.448,8,-0.00309,0.01170,0.80710,0,0,0,MODEL,-0.2961,0.100,0.0841,0,none
0.499,9,-0.00480,0.07036,0.63795,0,0,0,MODEL,-0.3518,0.100,0.0968,0,none
0.549,10,-0.00686,0.00279,0.50248,0,0,0,MODEL,-0.2877,0.100,0.1088,0,none
0.597,11,-0.00918,-0.03078,0.40936,0,0,0,MODEL,-0.2558,0.100,0.1207,0,none
0.650,12,-0.01155,0.01623,0.39995,0,0,0,MODEL,-0.3004,0.100,0.1323,0,none
0.699,13,-0.01444,0.04181,0.32076,0,0,0,MODEL,-0.3247,0.100,0.1439,0,none
0.751,14,-0.01180,-0.05726,0.32794,0,0,0,MODEL,-0.2306,0.100,0.1654,0,none
0.799,15,-0.02180,-0.03011,0.30094,0,0,0,MODEL,-0.2564,0.100,0.1686,0,none
0.852,16,-0.02625,-0.02476,0.29351,0,0,0,MODEL,-0.2615,0.100,0.1781,0,none
0.898,17,-0.03029,-0.04649,0.26755,0,0,0,MODEL,-0.2408,0.100,0.1894,0,none
0.948,18,-0.03531,-0.04199,0.26504,0,0,0,MODEL,-0.2451,0.100,0.2002,0,none
1.000,19,-0.04082,-0.05748,0.26878,0,0,0,MODEL,-0.2304,0.100,0.2111,0,none
1.050,20,-0.04684,-0.05638,0.26114,0,0,0,MODEL,-0.2314,0.100,0.2218,0,none
1.100,21,-0.05342,-0.04555,0.24728,0,0,0,MODEL,-0.2417,0.100,0.2325,0,none
1.153,22,-0.06074,0.00143,0.24242,0,0,0,MODEL,-0.2864,0.100,0.2430,0,none
1.200,23,-0.06913,-0.04354,0.26331,0,0,0,MODEL,-0.2436,0.100,0.2533,0,none
1.251,24,-0.07846,-0.03285,0.23639,0,0,0,MODEL,-0.2538,0.100,0.2637,0,none
1.301,25,-0.09243,-0.00361,0.21991,0,0,0,MODEL,-0.2816,0.100,0.2732,0,none
1.349,26,-0.09918,-0.00149,0.22492,0,0,0,MODEL,-0.2836,0.100,0.2842,0,none
1.402,27,-0.11166,-0.00086,0.24154,0,0,0,MODEL,-0.2842,0.100,0.2939,0,none
1.452,28,-0.12522,-0.01573,0.23807,0,0,0,MODEL,-0.2701,0.100,0.3037,0,none
1.500,29,-0.13980,0.00391,0.23198,0,0,0,MODEL,-0.2887,0.100,0.3135,0,none
1.551,30,-0.15560,-0.05985,0.24745,0,0,0,MODEL,-0.2281,0.100,0.3232,0,none
1.601,31,-0.16607,-0.05052,0.20163,0,0,0,MODEL,-0.2370,0.100,0.3336,0,none
1.651,32,-0.19064,-0.12186,0.32458,0,0,0,MODEL,-0.1692,0.100,0.3431,0,none
1.699,33,-0.20839,-0.14639,0.28418,0,0,0,MODEL,-0.1459,0.100,0.3518,0,none
1.752,34,-0.22688,-0.07818,0.27071,0,0,0,MODEL,-0.2107,0.100,0.3612,0,none
1.802,35,-0.24673,-0.13064,0.27806,0,0,0,MODEL,-0.1609,0.100,0.3704,0,none
