time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00282,0.17455,0.64406,0,0,0,MODEL,-0.4508,0.100,0.0000,0,none
0.022,1,0.00282,0.16795,0.64344,0,0,0,MODEL,-0.4446,0.100,0.0000,0,none
0.062,2,0.00277,0.13885,0.62780,0,0,0,MODEL,-0.4169,0.100,0.0104,0,none
0.112,3,0.00271,0.13804,0.58390,0,0,0,MODEL,-0.4161,0.100,0.0247,0,none
0.164,4,0.00205,0.08284,0.74098,0,0,0,MODEL,-0.3637,0.100,0.0347,0,none
0.214,5,0.00139,0.19881,0.67478,0,0,0,MODEL,-0.4739,0.100,0.0504,0,none
0.264,6,0.00026,-0.02548,0.71787,0,0,0,MODEL,-0.2608,0.100,0.0600,0,none
0.313,7,-0.00111,-0.06417,0.69871,0,0,0,MODEL,-0.2240,0.100,0.0719,0,none
0.364,8,-0.00208,-0.01618,0.77366,0,0,0,MODEL,-0.2696,0.100,0.0828,0,none
0.415,9,-0.00324,-0.02801,0.61994,0,0,0,MODEL,-0.2584,0.100,0.0968,0,none
0.465,10,-0.00493,-0.00049,0.56431,0,0,0,MODEL,-0.2845,0.100,0.1090,0,none
0.517,11,-0.00697,0.01468,0.44457,0,0,0,MODEL,-0.2989,0.100,0.1208,0,none
0.565,12,-0.00950,0.00220,0.39512,0,0,0,MODEL,-0.2871,0.100,0.1325,0,none
0.614,13,-0.01238,0.02929,0.33468,0,0,0,MODEL,-0.3128,0.100,0.1440,0,none
0.663,14,-0.00957,-0.05136,0.32461,0,0,0,MODEL,-0.2362,0.100,0.1656,0,none
0.717,15,-0.01950,-0.02837,0.31814,0,0,0,MODEL,-0.2580,0.100,0.1687,0,none
0.767,16,-0.02425,-0.05174,0.30401,0,0,0,MODEL,-0.2358,0.100,0.1783,0,none
0.814,17,-0.02770,-0.04435,0.27232,0,0,0,MODEL,-0.2429,0.100,0.1896,0,none
0.867,18,-0.03256,-0.01679,0.23950,0,0,0,MODEL,-0.2691,0.100,0.2003,0,none
0.916,19,-0.03817,-0.04844,0.26183,0,0,0,MODEL,-0.2390,0.100,0.2112,0,none
0.966,20,-0.04427,-0.06180,0.26421,0,0,0,MODEL,-0.2263,0.100,0.2219,0,none
1.015,21,-0.05077,-0.02530,0.23451,0,0,0,MODEL,-0.2610,0.100,0.2326,0,none
1.066,22,-0.05817,0.01455,0.25010,0,0,0,MODEL,-0.2988,0.100,0.2431,0,none
1.117,23,-0.06684,-0.06345,0.26950,0,0,0,MODEL,-0.2247,0.100,0.2534,0,none
1.166,24,-0.07592,-0.02058,0.23513,0,0,0,MODEL,-0.2654,0.100,0.2638,0,none
1.217,25,-0.08984,-0.02515,0.22602,0,0,0,MODEL,-0.2611,0.100,0.2733,0,none
1.267,26,-0.09652,-0.00822,0.22987,0,0,0,MODEL,-0.2772,0.100,0.2844,0,none
1.316,27,-0.10875,-0.01860,0.23661,0,0,0,MODEL,-0.2673,0.100,0.2940,0,none
1.365,28,-0.12201,-0.02889,0.23563,0,0,0,MODEL,-0.2576,0.100,0.3039,0,none
1.415,29,-0.13617,-0.00676,0.23541,0,0,0,MODEL,-0.2786,0.100,0.3137,0,none
1.466,30,-0.15166,-0.03542,0.23968,0,0,0,MODEL,-0.2514,0.100,0.3234,0,none
1.515,31,-0.16192,-0.04322,0.19725,0,0,0,MODEL,-0.2439,0.100,0.3337,0,none
1.565,32,-0.18657,-0.11981,0.33972,0,0,0,MODEL,-0.1712,0.100,0.3431,0,none
1.617,33,-0.20398,-0.13774,0.29911,0,0,0,MODEL,-0.1541,0.100,0.3519,0,none
1.668,34,-0.22227,-0.09524,0.26702,0,0,0,MODEL,-0.1945,0.100,0.3613,0,none
1.718,35,-0.24204,-0.12519,0.28408,0,0,0,MODEL,-0.1661,0.100,0.3704,0,none
1.768,36,-0.26301,-0.16422,0.28247,0,0,0,MODEL,-0.1290,0.100,0.3796,0,none
1.820,37,-0.29073,-0.21235,0.27500,0,0,0,MODEL,-0.0833,0.100,0.3886,0,none
1.872,38,-0.30706,-0.17807,0.21355,0,0,0,MODEL,-0.1158,0.100,0.3981,0,none
1.920,39,-0.32888,-0.17661,0.21365,0,0,0,MODEL,-0.1172,0.100,0.4064,0,none
1.970,40,-0.35286,-0.21423,0.21743,0,0,0,MODEL,-0.0815,0.100,0.4152,0,none
2.020,41,-0.37732,-0.24014,0.24986,0,0,0,MODEL,-0.0569,0.100,0.4239,0,none
2.070,42,-0.40201,-0.24513,0.21645,0,0,0,MODEL,-0.0521,0.100,0.4325,0,none
2.120,43,-0.42721,-0.27378,0.22767,0,0,0,MODEL,-0.0249,0.100,0.4410,0,none
2.171,44,-0.45275,-0.28176,0.24008,0,0,0,MODEL,-0.0173,0.100,0.4494,0,none
2.219,45,-0.47855,-0.30733,0.22604,0,0,0,MODEL,0.0070,0.100,0.4578,0,none
