time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00285,0.16407,0.65671,0,0,0,MODEL,-0.4409,0.100,0.0000,0,none
0.025,1,0.00285,0.16416,0.65621,0,0,0,MODEL,-0.4409,0.100,0.0000,0,none
0.074,2,0.00264,0.14983,0.58782,0,0,0,MODEL,-0.4273,0.100,0.0133,0,none
0.124,3,0.00233,0.14472,0.59590,0,0,0,MODEL,-0.4225,0.100,0.0260,0,none
0.175,4,0.00169,0.04997,0.72775,0,0,0,MODEL,-0.3325,0.100,0.0383,0,none
0.226,5,0.00080,0.09701,0.70852,0,0,0,MODEL,-0.3772,0.100,0.0512,0,none
0.275,6,-0.00004,0.06514,0.68263,0,0,0,MODEL,-0.3469,0.100,0.0638,0,none
0.326,7,-0.00134,0.03596,0.68679,0,0,0,MODEL,-0.3192,0.100,0.0781,0,none
0.376,8,-0.00302,0.02072,0.76247,0,0,0,MODEL,-0.3047,0.100,0.0862,0,none
0.425,9,-0.00465,0.04867,0.60940,0,0,0,MODEL,-0.3312,0.100,0.0976,0,none
0.476,10,-0.00664,-0.02533,0.50449,0,0,0,MODEL,-0.2609,0.100,0.1116,0,none
0.526,11,-0.00885,-0.06859,0.37488,0,0,0,MODEL,-0.2198,0.100,0.1229,0,none
0.579,12,-0.01101,0.05101,0.35796,0,0,0,MODEL,-0.3335,0.100,0.1346,0,none
0.627,13,-0.01377,0.00253,0.34573,0,0,0,MODEL,-0.2874,0.100,0.1460,0,none
0.675,14,-0.00921,-0.04173,0.29564,0,0,0,MODEL,-0.2454,0.100,0.1624,0,none
0.726,15,-0.02306,-0.03204,0.30245,0,0,0,MODEL,-0.2546,0.100,0.1695,0,none
0.777,16,-0.02519,-0.04396,0.30183,0,0,0,MODEL,-0.2432,0.100,0.1799,0,none
0.829,17,-0.02932,-0.03697,0.27599,0,0,0,MODEL,-0.2499,0.100,0.1911,0,none
0.881,18,-0.03424,-0.04868,0.26211,0,0,0,MODEL,-0.2388,0.100,0.2019,0,none
0.926,19,-0.03969,-0.04256,0.25458,0,0,0,MODEL,-0.2446,0.100,0.2128,0,none
0.979,20,-0.04568,-0.06673,0.27082,0,0,0,MODEL,-0.2216,0.100,0.2235,0,none
1.026,21,-0.05223,-0.01200,0.23779,0,0,0,MODEL,-0.2736,0.100,0.2342,0,none
1.080,22,-0.05958,-0.00403,0.25567,0,0,0,MODEL,-0.2812,0.100,0.2446,0,none
1.130,23,-0.06814,-0.05823,0.26746,0,0,0,MODEL,-0.2297,0.100,0.2550,0,none
1.181,24,-0.07934,-0.02117,0.25419,0,0,0,MODEL,-0.2649,0.100,0.2652,0,none
1.229,25,-0.08924,-0.04163,0.23939,0,0,0,MODEL,-0.2455,0.100,0.2747,0,none
1.279,26,-0.09745,0.00342,0.21834,0,0,0,MODEL,-0.2882,0.100,0.2858,0,none
1.327,27,-0.10957,-0.02134,0.23883,0,0,0,MODEL,-0.2647,0.100,0.2954,0,none
1.378,28,-0.12288,-0.01540,0.24051,0,0,0,MODEL,-0.2704,0.100,0.3053,0,none
1.431,29,-0.13710,0.00802,0.22526,0,0,0,MODEL,-0.2926,0.100,0.3151,0,none
1.479,30,-0.14969,0.04656,0.15262,1,0,0,MODEL,-0.3292,0.100,0.3237,0,none
1.529,31,-0.16691,-0.11136,0.30464,0,0,0,MODEL,-0.1792,0.100,0.3329,0,none
1.581,32,-0.18893,-0.10156,0.31556,0,0,0,MODEL,-0.1885,0.100,0.3439,0,none
