time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00064,0.05338,0.11466,1,0,0,MODEL,-0.3357,0.100,0.0000,0,none
0.048,1,0.00061,0.00376,0.11619,1,0,0,MODEL,-0.2886,0.100,0.0057,0,none
0.096,2,0.00060,0.04658,0.11066,1,0,0,MODEL,-0.3293,0.100,0.0208,0,none
9.844,3,0.22808,0.11556,0.60746,0,0,0,MODEL,-0.3948,0.100,0.2022,0,none
9.895,4,0.22853,0.12056,0.58609,0,0,0,MODEL,-0.3995,0.100,0.0873,0,none
9.943,5,0.22892,0.06127,0.69788,0,0,0,MODEL,-0.3432,0.100,0.0244,0,none
9.994,6,0.22849,0.12369,0.56301,0,0,0,MODEL,-0.4025,0.100,0.0285,0,none
10.043,7,0.22793,0.03180,0.71750,0,0,0,MODEL,-0.3152,0.100,0.0410,0,none
10.096,8,0.22686,0.14280,0.72501,0,0,0,MODEL,-0.4207,0.100,0.0525,0,none
10.144,9,0.22536,0.06475,0.73051,0,0,0,MODEL,-0.3465,0.100,0.0642,0,none
10.195,10,0.22338,0.26385,0.71634,0,0,0,MODEL,-0.5357,0.100,0.0808,0,none
10.244,11,0.22083,0.16615,0.66486,0,0,0,MODEL,-0.4428,0.100,0.0925,0,none
10.293,12,0.21750,0.08687,0.52613,0,0,0,MODEL,-0.3675,0.100,0.1035,0,none
10.343,13,0.21399,-0.02247,0.52169,0,0,0,MODEL,-0.2637,0.100,0.1156,0,none
10.394,14,0.21055,-0.03325,0.39630,0,0,0,MODEL,-0.2534,0.100,0.1273,0,none
10.445,15,0.42032,-0.06879,0.36290,0,0,0,MODEL,-0.2197,0.100,0.1389,0,none
10.498,16,0.40269,-0.06122,0.35422,0,0,0,MODEL,-0.2268,0.100,0.1504,0,none
10.545,17,0.39165,-0.04572,0.28770,0,0,0,MODEL,-0.2416,0.100,0.1618,0,none
10.597,18,0.35932,-0.07171,0.31684,0,0,0,MODEL,-0.2169,0.100,0.1732,0,none
10.643,19,0.33948,-0.02712,0.26245,0,0,0,MODEL,-0.2592,0.100,0.1844,0,none
10.694,20,0.31555,-0.02223,0.23963,0,0,0,MODEL,-0.2639,0.100,0.1953,0,none
10.745,21,0.28970,-0.05830,0.24813,0,0,0,MODEL,-0.2296,0.100,0.2062,0,none
10.795,22,0.26233,-0.05672,0.25288,0,0,0,MODEL,-0.2311,0.100,0.2170,0,none
10.845,23,0.23348,-0.03459,0.22997,0,0,0,MODEL,-0.2521,0.100,0.2277,0,none
10.895,24,0.20280,-0.02215,0.25099,0,0,0,MODEL,-0.2640,0.100,0.2382,0,none
10.945,25,0.17014,-0.00864,0.25449,0,0,0,MODEL,-0.2768,0.100,0.2487,0,none
10.994,26,0.13550,-0.00364,0.25872,0,0,0,MODEL,-0.2815,0.100,0.2590,0,none
11.046,27,0.09460,0.01013,0.22881,0,0,0,MODEL,-0.2946,0.100,0.2689,0,none
11.096,28,0.06101,-0.03520,0.22848,0,0,0,MODEL,-0.2516,0.100,0.2791,0,none
11.128,29,0.02082,-0.03020,0.24193,0,0,0,MODEL,-0.2563,0.100,0.2896,0,none
11.182,30,-0.02154,-0.00433,0.22537,0,0,0,MODEL,-0.2809,0.100,0.2993,0,none
11.230,31,-0.06607,-0.01848,0.23644,0,0,0,MODEL,-0.2674,0.100,0.3091,0,none
11.280,32,-0.17081,-0.05378,0.25018,0,0,0,MODEL,-0.2339,0.100,0.3189,0,none
11.331,33,-0.18136,0.01050,0.18444,1,0,0,MODEL,-0.2950,0.100,0.3287,0,none
11.381,34,-0.20604,-0.05434,0.26687,0,0,0,MODEL,-0.2334,0.100,0.3370,0,none
11.432,35,-0.22668,-0.11500,0.30723,0,0,0,MODEL,-0.1758,0.100,0.3477,0,none
11.481,36,-0.24640,-0.15461,0.33525,0,0,0,MODEL,-0.1381,0.100,0.3567,0,none
11.531,37,-0.26693,-0.19456,0.29272,0,0,0,MODEL,-0.1002,0.100,0.3660,0,none
11.582,38,-0.28765,-0.21658,0.27417,0,0,0,MODEL,-0.0792,0.100,0.3752,0,none
11.631,39,-0.31388,-0.24363,0.28252,0,0,0,MODEL,-0.0535,0.100,0.3859,0,none
11.681,40,-0.33324,-0.16618,0.21248,0,0,0,MODEL,-0.1271,0.100,0.3961,0,none
11.733,41,-0.35339,-0.20730,0.21589,0,0,0,MODEL,-0.0881,0.100,0.4019,0,none
11.781,42,-0.37793,-0.27113,0.24223,0,0,0,MODEL,-0.0274,0.100,0.4109,0,none
11.834,43,-0.40263,-0.20966,0.21773,0,0,0,MODEL,-0.0858,0.100,0.4196,0,none
11.884,44,-0.42725,-0.29085,0.24103,0,0,0,MODEL,-0.0087,0.100,0.4282,0,none
11.935,45,-0.45338,-0.28898,0.24917,0,0,0,MODEL,-0.0105,0.100,0.4368,0,none
11.983,46,-0.47898,-0.35575,0.26004,0,0,0,MODEL,0.0530,0.100,0.4452,0,none
12.035,47,-0.50402,-0.34444,0.24408,0,0,0,MODEL,0.0422,0.100,0.4535,0,none
12.086,48,-0.52879,-0.36388,0.26089,0,0,0,MODEL,0.0607,0.100,0.4618,0,none
12.135,49,-0.55359,-0.41934,0.25120,0,0,0,MODEL,0.1134,0.100,0.4700,0,none
12.185,50,-0.57750,-0.44463,0.26480,0,0,0,MODEL,0.1374,0.100,0.4781,0,none
12.239,51,-0.60021,-0.47390,0.24047,0,0,0,MODEL,0.1652,0.100,0.4861,0,none
12.286,52,-0.62172,-0.48202,0.21291,0,0,0,MODEL,0.1729,0.100,0.4940,0,none
12.335,53,-0.64205,-0.50863,0.20435,0,0,0,MODEL,0.1982,0.100,0.5019,0,none
12.386,54,-0.66102,-0.61723,0.22063,0,0,0,MODEL,0.3014,0.100,0.5096,0,none
12.436,55,-0.67694,-0.50668,0.20583,0,0,0,MODEL,0.1963,0.100,0.5170,0,none
12.488,56,-0.69140,-0.48100,0.20574,0,0,0,MODEL,0.1719,0.100,0.5248,0,none
12.536,57,-0.70610,-0.50264,0.21419,0,0,0,MODEL,0.1925,0.100,0.5324,0,none
12.587,58,-0.71964,-0.61488,0.21733,0,0,0,MODEL,0.2991,0.100,0.5398,0,none
12.639,59,-0.72980,-0.56882,0.22973,0,0,0,MODEL,0.2554,0.100,0.5469,0,none
12.688,60,-0.73709,-0.52560,0.28200,0,0,0,MODEL,0.2143,0.100,0.5543,0,none
12.737,61,-0.74347,-0.57175,0.30606,0,0,0,MODEL,0.2582,0.100,0.5616,0,none
12.787,62,-0.74783,-0.57070,0.25955,0,0,0,MODEL,0.2572,0.100,0.5686,0,none
12.838,63,-0.74942,-0.56761,0.29822,0,0,0,MODEL,0.2542,0.100,0.5757,0,none
12.889,64,-0.74871,-0.56534,0.30049,0,0,0,MODEL,0.2521,0.100,0.5828,0,none
12.937,65,-0.74566,-0.56111,0.29566,0,0,0,MODEL,0.2481,0.100,0.5897,0,none
12.988,66,-0.74023,-0.56358,0.26429,0,0,0,MODEL,0.2504,0.100,0.5966,0,none
13.038,67,-0.73229,-0.50440,0.26394,0,0,0,MODEL,0.1942,0.100,0.6034,0,none
13.087,68,-0.72268,-0.50221,0.31047,0,0,0,MODEL,0.1921,0.100,0.6103,0,none
13.140,69,-0.71169,-0.63646,0.32442,0,0,0,MODEL,0.3196,0.100,0.6170,0,none
13.190,70,-0.69632,-0.55293,0.33433,0,0,0,MODEL,0.2403,0.100,0.6230,0,none
13.240,71,-0.67716,-0.56374,0.33129,0,0,0,MODEL,0.2505,0.100,0.6292,0,none
13.287,72,-0.65611,-0.47654,0.32604,0,0,0,MODEL,0.1677,0.100,0.6365,0,none
13.337,73,-0.63358,-0.47472,0.33648,0,0,0,MODEL,0.1660,0.100,0.6425,0,none
13.388,74,-0.60995,-0.46906,0.32664,0,0,0,MODEL,0.1606,0.100,0.6494,0,none
