cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
0.00085,0.12582,0.64387,-0.47645,0.50060,0.27370,0.24274,-0.55970,0.64152,0.64368,-0.77675,1.17179,-0.40297
0.00085,0.12478,0.64365,-0.47782,0.50349,0.27424,0.24240,-0.56209,0.63698,0.63958,-0.77624,1.17131,-0.40402
0.00085,0.16134,0.59974,-0.44586,0.52534,0.26701,0.16551,-0.30987,0.68610,0.49391,-0.71972,1.23153,-0.28058
0.00078,0.14609,0.59154,-0.45132,0.43417,0.26932,0.16583,-0.35694,0.71209,0.37460,-0.65303,1.25850,-0.29233
0.00071,0.15644,0.57331,-0.37971,0.36821,0.28424,0.23353,-0.26474,0.71744,0.32225,-0.70717,1.23971,-0.24937
0.00024,0.12258,0.73105,-0.56616,0.11982,0.33637,0.51317,-0.35666,0.57452,0.90763,-1.25968,1.15783,-0.20101
-0.00031,0.20383,0.68634,-0.28118,-0.13910,0.29784,0.71186,-0.14454,0.28594,1.22511,-0.88964,1.22552,-0.25354
-0.00114,0.22798,0.68864,-0.27967,-0.05586,0.33470,1.07833,-0.12467,0.34263,0.89712,-0.83686,1.28864,-0.36460
-0.00223,0.24466,0.72783,0.03127,-0.29666,0.36367,1.22994,-0.25516,0.50584,0.92265,-0.89432,1.22834,-0.38895
-0.00338,0.00997,0.70737,-0.85123,-0.43891,0.35306,0.68611,-0.08145,0.24154,0.51394,-1.08567,1.15358,-0.39129
-0.00488,0.03739,0.60716,-0.72428,-0.48282,0.36826,0.63214,-0.19783,0.28929,0.31421,-0.70806,1.12198,-0.23901
-0.00683,0.05203,0.48301,-0.65452,-0.36563,0.46457,0.32990,0.13324,0.02640,0.30082,-0.46160,0.93878,-0.19162
-0.00906,-0.05295,0.34849,-0.48901,-0.53142,0.41288,0.13469,0.14865,-0.42272,0.00045,-0.14284,0.42986,-0.06999
-0.01164,-0.03124,0.34416,-0.44043,-0.58893,0.40096,0.10540,0.14377,-0.37398,0.09903,-0.11477,0.42236,0.03425
-0.01460,-0.04362,0.33664,-0.32773,-0.73072,0.43392,0.09020,0.16759,-0.30187,0.04164,-0.10673,0.25964,0.03786
-0.00894,-0.03636,0.28101,-0.09433,-0.66954,0.30929,0.06844,0.13235,-0.31498,-0.01299,0.01364,0.22145,-0.01695
-0.02388,-0.04256,0.31616,-0.04122,-0.82379,0.33570,0.04666,0.14567,-0.23590,-0.06424,-0.01294,0.20220,0.02224
-0.02642,-0.05125,0.29533,-0.05585,-0.73273,0.35457,0.00675,0.16083,-0.27757,-0.10624,-0.02752,0.17444,-0.00915
-0.03107,-0.02695,0.23938,-0.04571,-0.57548,0.29248,-0.03251,0.17166,-0.21310,-0.05607,-0.00334,0.15358,0.03901
-0.03638,-0.06727,0.26385,-0.05193,-0.68367,0.32322,-0.05648,0.12222,-0.23573,-0.11680,-0.06204,0.07687,0.01163
-0.04220,-0.07596,0.26415,-0.08670,-0.67802,0.31151,-0.05301,0.14410,-0.25811,-0.13594,-0.06750,0.08748,-0.02344
-0.04862,-0.05718,0.26414,-0.05038,-0.66807,0.29319,-0.02680,0.15516,-0.26781,-0.08577,-0.04609,0.14000,-0.01528
-0.05564,-0.01726,0.24436,-0.04514,-0.50999,0.35931,-0.00309,0.19919,-0.23230,-0.05454,-0.11645,0.19394,0.03653
