replicate,p
0,0.1374098914
1,0.1374111758
2,0.1374033499
3,0.1374150076
4,0.1374103018
5,0.1374126528
6,0.1374162638
7,0.1374037437
8,0.1374104339
9,0.1374091256
10,0.1374105779
11,0.1374157722
12,0.1374112464
13,0.137413833
14,0.1374163476
15,0.1374067385
16,0.1374156897
17,0.1373860777
18,0.1374092218
19,0.1373805867
20,0.1374115111
21,0.1374151348
22,0.1374128665
23,0.1374134792
24,0.1372907364
25,0.1373978059
26,0.1374161703
27,0.1374136538
28,0.1374157738
29,0.1374074999
30,0.1374164555
31,0.1373458253
32,0.1374115229
33,0.1374141215
34,0.1373747543
35,0.137415726
36,0.1374132244
37,0.1374164872
38,0.1374155117
39,0.1374165117
40,0.1373969265
41,0.1374115634
42,0.1374172011
43,0.1374172141
44,0.137407787
45,0.13741351
46,0.1374123541
47,0.137411695
48,0.1374170441
49,0.1374129157
50,0.1374006296
51,0.1374003856
52,0.1373587738
53,0.1374175989
54,0.1374163707
55,0.1374138184
56,0.1374148696
57,0.1374092419
58,0.1374169618
59,0.1373852706
60,0.1374160324
61,0.1374176137
62,0.1374146391
63,0.1374172025
64,0.1373988456
65,0.1374161783
66,0.1374104782
67,0.1374144926
68,0.1374132685
69,0.1373956491
70,0.1374162262
71,0.1374096557
72,0.137413281
73,0.1374161989
74,0.1374171132
75,0.1374088571
76,0.1373971926
77,0.1374122617
78,0.1374168074
79,0.1374055134
80,0.137361482
81,0.1374151329
82,0.1374151627
83,0.1373851368
84,0.1374116154
85,0.1374052678
86,0.13741656
87,0.1374091223
88,0.1374146635
89,0.1374166237
90,0.1374160476
91,0.1373809632
92,0.1374016448
93,0.1374078329
94,0.1374163033
95,0.1374007091
96,0.1374171515
97,0.1374168448
98,0.1374115127
99,0.1374175249
100,0.1374160599
101,0.1372540926
102,0.1374167708
103,0.1374144422
104,0.1374115135
105,0.1374102326
106,0.1374113669
107,0.137406418
108,0.137407216
109,0.1374169714
110,0.1374060969
111,0.1374132662
112,0.1374173923
113,0.1374149176
114,0.1374158433
115,0.1374167925
116,0.1374099207
117,0.1374061322
118,0.1374125299
119,0.1373956097
120,0.1374088228
121,0.1374057102
122,0.1374125981
123,0.1374138331
124,0.1374135802
125,0.1374109997
126,0.1374096376
127,0.1374111666
128,0.1374140077
129,0.137409897
130,0.1374074644
131,0.1373922004
132,0.1374130155
133,0.1374125592
134,0.1374149809
135,0.1373409559
136,0.1374058385
137,0.1373942988
138,0.1374099815
139,0.1373681595
140,0.1373702327
141,0.1374087141
142,0.137414584
143,0.1374162444
144,0.1374083689
145,0.1374128673
146,0.1374169066
147,0.1374166691
148,0.1372623652
149,0.137415067
150,0.1374176137
151,0.1374168216
152,0.137399661
153,0.1374153059
154,0.1374049902
155,0.1373971972
156,0.1374097169
157,0.137412138
158,0.1373889851
159,0.1374100815
160,0.1374102931
161,0.1374098609
162,0.1374175601
163,0.1374162231
164,0.1374113301
165,0.1374107347
166,0.1373899404
167,0.1374144583
168,0.1373928099
169,0.1374059018
170,0.137415288
171,0.137393154
172,0.1373739111
173,0.1374108716
174,0.1373991171
175,0.1374107264
176,0.1374143154
177,0.1374176091
178,0.1374176051
179,0.1373707625
180,0.1374172911
181,0.1374104327
182,0.1374154254
183,0.1374175959
184,0.1374165332
185,0.137397683
186,0.1374082937
187,0.1373853986
188,0.1374161262
189,0.1374133872
190,0.1374156842
191,0.1374106527
192,0.1373999387
193,0.1374105138
194,0.1373740412
195,0.137414093
196,0.1374047874
197,0.1373571006
198,0.1374023471
199,0.137412659
