time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00076,0.28354,0.25317,0,1,0,MODEL,0.0000,0.100,0.0000,0,none
0.045,1,0.00076,0.29137,0.25309,0,2,0,MODEL,0.0000,0.100,0.0000,0,none
0.077,2,0.00077,0.28984,0.26698,0,3,0,MODEL,0.0000,0.100,0.0058,0,none
0.127,3,0.00081,0.28782,0.24118,0,4,0,MODEL,0.0000,0.100,0.0148,0,none
0.178,4,0.00087,0.27118,0.25658,0,5,0,MODEL,0.0000,0.100,0.0313,0,none
0.229,5,0.00124,0.33442,0.25260,0,6,0,MODEL,0.0000,0.100,0.0446,0,none
0.277,6,0.00146,0.30190,0.26516,0,7,0,MODEL,0.0000,0.100,0.0548,0,none
0.330,7,0.00168,0.25768,0.25406,0,8,0,MODEL,0.0000,0.100,0.0699,0,none
0.380,8,0.00185,0.31493,0.26754,0,9,0,MODEL,0.0000,0.100,0.0800,0,none
0.429,9,0.00208,0.36733,0.27285,0,10,0,FALLBACK,-1.0000,0.100,0.0925,0,none
0.479,10,0.00053,0.24254,0.23060,0,10,0,FALLBACK,-1.0000,0.100,0.1020,0,none
0.528,11,-0.00558,0.12075,0.26316,0,10,0,FALLBACK,-1.0000,0.100,0.1138,0,none
0.580,12,-0.01262,0.07499,0.27122,0,10,0,FALLBACK,-1.0000,0.100,0.1245,0,none
0.629,13,-0.02074,0.02660,0.18603,1,10,0,FALLBACK,-1.0000,0.100,0.1356,0,none
0.680,14,-0.03007,0.00216,0.18481,1,10,0,FALLBACK,-1.0000,0.100,0.1465,0,none
0.729,15,-0.03117,-0.00223,0.11237,1,10,0,FALLBACK,-1.0000,0.100,0.1575,0,none
0.780,16,-0.05561,0.04267,0.15752,1,10,0,FALLBACK,-1.0000,0.100,0.1692,0,none
0.831,17,-0.06657,0.03693,0.12250,1,10,0,FALLBACK,-1.0000,0.100,0.1783,0,none
0.880,18,-0.08144,0.18363,0.14439,1,10,0,FALLBACK,-1.0000,0.100,0.1892,0,none
0.930,19,-0.09878,0.16733,0.12597,1,10,0,FALLBACK,-0.9194,0.100,0.1993,0,none
0.982,20,-0.11759,0.15001,0.10391,1,10,0,FALLBACK,-0.8180,0.100,0.2097,0,none
1.030,21,-0.13763,0.11472,0.10733,1,10,0,FALLBACK,-0.7116,0.100,0.2203,0,none
1.081,22,-0.15829,0.10142,0.13857,1,10,0,FALLBACK,-0.6052,0.100,0.2309,0,none
1.130,23,-0.17961,0.04439,0.12554,1,10,0,FALLBACK,-0.4954,0.100,0.2414,0,none
1.181,24,-0.20145,0.06826,0.16562,1,10,0,FALLBACK,-0.3835,0.100,0.2520,0,none
1.229,25,-0.22844,0.10537,0.20875,0,10,0,FALLBACK,-0.2229,0.100,0.2621,0,none
1.281,26,-0.25154,0.08254,0.21254,0,10,0,FALLBACK,-0.1268,0.100,0.2729,0,none
1.331,27,-0.26842,-0.00520,0.16947,1,10,0,FALLBACK,-0.0734,0.100,0.2825,0,none
1.383,28,-0.28723,-0.12543,0.15989,1,10,0,FALLBACK,0.0302,0.100,0.2931,0,none
1.436,29,-0.30848,-0.18842,0.15129,1,10,0,FALLBACK,0.1487,0.100,0.3027,0,none
1.483,30,-0.32904,-0.31210,0.14133,1,10,0,FALLBACK,0.2480,0.100,0.3124,0,none
1.532,31,-0.33964,-0.30734,0.16081,1,10,0,FALLBACK,0.2512,0.100,0.3217,0,none
