time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00282,0.29767,0.24593,0,1,0,MODEL,0.0000,0.100,0.0000,0,none
0.020,1,0.00282,0.29773,0.24601,0,2,0,MODEL,0.0000,0.100,0.0000,0,none
0.061,2,0.00287,0.27553,0.24626,0,3,0,MODEL,0.0000,0.100,0.0097,0,none
0.111,3,0.00296,0.28119,0.24596,0,4,0,MODEL,0.0000,0.100,0.0222,0,none
0.164,4,0.00330,0.27862,0.26510,0,5,0,MODEL,0.0000,0.100,0.0365,0,none
0.211,5,0.00341,0.25029,0.25374,0,6,0,MODEL,0.0000,0.100,0.0471,0,none
0.262,6,0.00351,0.32570,0.24844,0,7,0,MODEL,0.0000,0.100,0.0598,0,none
0.311,7,0.00370,0.27537,0.27199,0,8,0,MODEL,0.0000,0.100,0.0737,0,none
0.361,8,0.00389,0.28050,0.28401,0,9,0,MODEL,0.0000,0.100,0.0845,0,none
0.415,9,0.00413,0.26855,0.28565,0,10,0,FALLBACK,-1.0000,0.100,0.0989,0,none
0.461,10,0.00048,0.22117,0.23932,0,10,0,FALLBACK,-1.0000,0.100,0.1060,0,none
0.512,11,-0.00576,0.10103,0.27132,0,10,0,FALLBACK,-1.0000,0.100,0.1181,0,none
0.565,12,-0.01290,0.01101,0.19548,0,10,0,FALLBACK,-1.0000,0.100,0.1289,0,none
0.615,13,-0.02115,0.05698,0.24339,0,10,0,FALLBACK,-1.0000,0.100,0.1399,0,none
0.664,14,-0.02431,-0.01025,0.16089,1,10,0,FALLBACK,-1.0000,0.100,0.1613,0,none
0.714,15,-0.03640,0.01839,0.15663,1,10,0,FALLBACK,-1.0000,0.100,0.1684,0,none
0.764,16,-0.05568,0.07744,0.16217,1,10,0,FALLBACK,-1.0000,0.100,0.1718,0,none
0.814,17,-0.06709,0.06584,0.14332,1,10,0,FALLBACK,-1.0000,0.100,0.1828,0,none
0.865,18,-0.08282,0.15747,0.13976,1,10,0,FALLBACK,-1.0000,0.100,0.1931,0,none
0.913,19,-0.10038,0.18139,0.12398,1,10,0,FALLBACK,-0.9103,0.100,0.2033,0,none
0.963,20,-0.11924,0.14244,0.10060,1,10,0,FALLBACK,-0.8094,0.100,0.2138,0,none
1.015,21,-0.13900,0.16979,0.12129,1,10,0,FALLBACK,-0.7062,0.100,0.2244,0,none
1.062,22,-0.15955,0.07259,0.15288,1,10,0,FALLBACK,-0.5995,0.100,0.2350,0,none
1.115,23,-0.18074,0.02824,0.15703,1,10,0,FALLBACK,-0.4903,0.100,0.2455,0,none
1.166,24,-0.20240,0.11334,0.17469,1,10,0,FALLBACK,-0.3797,0.100,0.2560,0,none
1.214,25,-0.23030,0.13915,0.20564,0,10,0,FALLBACK,-0.2090,0.100,0.2661,0,none
1.265,26,-0.25162,0.08239,0.18494,1,10,0,FALLBACK,-0.1353,0.100,0.2766,0,none
1.314,27,-0.26594,-0.04535,0.18385,1,10,0,FALLBACK,-0.0987,0.100,0.2865,0,none
1.365,28,-0.28733,-0.09843,0.17371,1,10,0,FALLBACK,0.0436,0.100,0.2967,0,none
1.416,29,-0.30800,-0.20621,0.15237,1,10,0,FALLBACK,0.1433,0.100,0.3064,0,none
1.464,30,-0.32721,-0.26642,0.12817,1,10,0,FALLBACK,0.2321,0.100,0.3161,0,none
1.516,31,-0.33767,-0.31025,0.13781,1,10,0,FALLBACK,0.2406,0.100,0.3271,0,none
1.566,32,-0.35622,-0.32497,0.13386,1,10,0,FALLBACK,0.3738,0.100,0.3353,0,none
1.616,33,-0.37724,-0.33958,0.14521,1,10,0,FALLBACK,0.4913,0.100,0.3449,0,none
1.664,34,-0.38870,-0.33298,0.15271,1,10,0,FALLBACK,0.5008,0.100,0.3531,0,none
1.716,35,-0.39840,-0.32582,0.15640,1,10,0,FALLBACK,0.5405,0.100,0.3624,0,none
1.767,36,-0.40603,-0.33218,0.14980,1,10,0,FALLBACK,0.5683,0.100,0.3714,0,none
1.818,37,-0.41318,-0.27313,0.14289,1,10,0,FALLBACK,0.6016,0.100,0.3842,0,none
1.867,38,-0.41646,-0.19550,0.12466,1,10,0,FALLBACK,0.5987,0.100,0.3918,0,none
1.917,39,-0.41342,-0.22886,0.11353,1,10,0,FALLBACK,0.5519,0.100,0.3977,0,none
1.966,40,-0.41103,-0.10708,0.14515,1,10,0,FALLBACK,0.5432,0.100,0.4068,0,none
2.018,41,-0.40654,-0.14278,0.13571,1,10,0,FALLBACK,0.5103,0.100,0.4154,0,none
2.068,42,-0.39984,-0.17378,0.12728,1,10,0,FALLBACK,0.4657,0.100,0.4241,0,none
2.116,43,-0.39097,-0.12887,0.11327,1,10,0,FALLBACK,0.4105,0.100,0.4327,0,none
2.165,44,-0.38097,-0.07578,0.14624,1,10,0,FALLBACK,0.3548,0.100,0.4413,0,none
2.214,45,-0.36990,-0.02848,0.13394,1,10,0,FALLBACK,0.2942,0.100,0.4499,0,none
2.266,46,-0.35803,0.08638,0.15003,1,10,0,FALLBACK,0.2308,0.100,0.4583,0,none
2.317,47,-0.34573,0.19177,0.19012,1,10,0,FALLBACK,0.1672,0.100,0.4666,0,none
2.366,48,-0.33337,0.34065,0.23506,0,10,0,FALLBACK,0.1050,0.100,0.4749,0,none
2.416,49,-0.32130,0.41850,0.21480,0,10,0,FALLBACK,0.0462,0.100,0.4830,0,none
2.465,50,-0.30987,0.54530,0.20401,0,10,0,FALLBACK,-0.0078,0.100,0.4910,0,none
2.516,51,-0.29937,0.60284,0.22774,0,10,0,FALLBACK,-0.0556,0.100,0.4989,0,none
2.567,52,-0.29007,0.59915,0.29456,0,10,0,FALLBACK,-0.0962,0.100,0.5067,0,none
2.618,53,-0.28215,0.71342,0.37045,0,10,0,FALLBACK,-0.1288,0.100,0.5144,0,none
2.666,54,-0.27578,0.53406,0.29393,0,10,0,FALLBACK,-0.1529,0.100,0.5220,0,none
2.716,55,-0.27105,0.17631,0.25346,0,10,0,FALLBACK,-0.1685,0.100,0.5296,0,none
2.768,56,-0.26795,0.02371,0.19181,1,10,0,FALLBACK,-0.1757,0.100,0.5370,0,none
2.817,57,-0.26645,0.06437,0.14580,1,10,0,FALLBACK,-0.1752,0.100,0.5445,0,none
2.868,58,-0.26646,0.02915,0.13033,1,10,0,FALLBACK,-0.1677,0.100,0.5518,0,none
2.917,59,-0.26782,-0.00017,0.12837,1,10,0,FALLBACK,-0.1541,0.100,0.5591,0,none
2.968,60,-0.27033,-0.00944,0.14999,1,10,0,FALLBACK,-0.1358,0.100,0.5663,0,none
3.016,61,-0.27389,0.12079,0.11011,1,10,0,FALLBACK,-0.1128,0.100,0.5735,0,none
3.068,62,-0.27819,0.04152,0.08914,1,10,0,FALLBACK,-0.0875,0.100,0.5806,0,none
3.120,63,-0.28295,0.19471,0.15066,1,10,0,FALLBACK,-0.0614,0.100,0.5876,0,none
3.166,64,-0.28790,0.12315,0.16874,1,10,0,FALLBACK,-0.0358,0.100,0.5945,0,none
3.219,65,-0.29278,0.09141,0.11751,1,10,0,FALLBACK,-0.0117,0.100,0.6014,0,none
3.269,66,-0.29737,0.06742,0.09509,1,10,0,FALLBACK,0.0099,0.100,0.6081,0,none
3.317,67,-0.30148,0.00162,0.10397,1,10,0,FALLBACK,0.0280,0.100,0.6149,0,none
3.372,68,-0.30495,-0.02722,0.14971,1,10,0,FALLBACK,0.0421,0.100,0.6215,0,none
3.419,69,-0.30770,-0.07878,0.12726,1,10,0,FALLBACK,0.0523,0.100,0.6286,0,none
3.468,70,-0.30978,-0.10059,0.11651,1,10,0,FALLBACK,0.0593,0.100,0.6346,0,none
3.518,71,-0.31099,-0.02348,0.16986,1,10,0,FALLBACK,0.0609,0.100,0.6411,0,none
3.570,72,-0.31139,0.11216,0.20654,0,10,0,FALLBACK,0.0590,0.100,0.6473,0,none
3.620,73,-0.31107,0.12957,0.21736,0,10,0,FALLBACK,0.0537,0.100,0.6538,0,none
3.668,74,-0.31016,0.22543,0.27848,0,10,0,FALLBACK,0.0462,0.100,0.6599,0,none
3.721,75,-0.30876,0.23250,0.27275,0,10,0,FALLBACK,0.0368,0.100,0.6662,0,none
3.770,76,-0.30705,0.23830,0.24219,0,10,0,FALLBACK,0.0267,0.100,0.6722,0,none
3.820,77,-0.30515,0.06881,0.13683,1,10,0,FALLBACK,0.0163,0.100,0.6784,0,none
3.871,78,-0.30322,-0.15539,0.06753,1,10,0,FALLBACK,0.0065,0.100,0.6843,0,none
3.920,79,-0.30136,-0.14587,0.10278,1,10,0,FALLBACK,-0.0025,0.100,0.6903,0,none
3.971,80,-0.29971,-0.16920,0.09047,1,10,0,FALLBACK,-0.0097,0.100,0.6961,0,none
4.021,81,-0.29832,-0.19064,0.12370,1,10,0,FALLBACK,-0.0153,0.100,0.7020,0,none
4.070,82,-0.29728,-0.22100,0.10068,1,10,0,FALLBACK,-0.0189,0.100,0.7077,0,none
4.120,83,-0.29655,-0.21578,0.09941,1,10,0,FALLBACK,-0.0209,0.100,0.7134,0,none
4.170,84,-0.29617,-0.22314,0.11646,1,10,0,FALLBACK,-0.0211,0.100,0.7190,0,none
4.219,85,-0.29612,-0.14268,0.10574,1,10,0,FALLBACK,-0.0196,0.100,0.7246,0,none
4.272,86,-0.29637,-0.05090,0.11609,1,10,0,FALLBACK,-0.0169,0.100,0.7302,0,none
4.321,87,-0.29686,-0.12738,0.10227,1,10,0,FALLBACK,-0.0133,0.100,0.7356,0,none
4.369,88,-0.29749,-0.21076,0.09177,1,10,0,FALLBACK,-0.0093,0.100,0.7410,0,none
4.420,89,-0.29819,-0.23838,0.08813,1,10,0,FALLBACK,-0.0055,0.100,0.7464,0,none
4.470,90,-0.29891,-0.27723,0.10885,1,10,0,FALLBACK,-0.0019,0.100,0.7517,0,none
4.523,91,-0.29961,-0.26619,0.09859,1,10,0,FALLBACK,0.0015,0.100,0.7570,0,none
4.572,92,-0.30021,-0.32584,0.11227,1,10,0,FALLBACK,0.0040,0.100,0.7622,0,none
4.622,93,-0.30067,-0.22831,0.08417,1,10,0,FALLBACK,0.0056,0.100,0.7673,0,none
4.673,94,-0.30100,-0.19213,0.07923,1,10,0,FALLBACK,0.0067,0.100,0.7724,0,none
4.724,95,-0.30118,-0.22876,0.10309,1,10,0,FALLBACK,0.0068,0.100,0.7774,0,none
4.772,96,-0.30122,-0.14593,0.09860,1,10,0,FALLBACK,0.0063,0.100,0.7824,0,none
4.822,97,-0.30114,-0.19423,0.08266,1,10,0,FALLBACK,0.0053,0.100,0.7874,0,none
4.873,98,-0.30096,-0.27339,0.10078,1,10,0,FALLBACK,0.0039,0.100,0.7923,0,none
4.921,99,-0.30073,-0.29357,0.11345,1,10,0,FALLBACK,0.0025,0.100,0.7971,0,none
4.972,100,-0.30045,-0.28824,0.09534,1,10,0,FALLBACK,0.0008,0.100,0.8019,0,none
5.022,101,-0.30017,-0.31067,0.09663,1,10,0,FALLBACK,-0.0006,0.100,0.8066,0,none
5.072,102,-0.29992,-0.28373,0.09872,1,10,0,FALLBACK,-0.0016,0.100,0.8113,0,none
5.123,103,-0.29971,-0.27112,0.11331,1,10,0,FALLBACK,-0.0025,0.100,0.8160,0,none
5.173,104,-0.29955,-0.30365,0.10327,1,10,0,FALLBACK,-0.0030,0.100,0.8206,0,none
5.224,105,-0.29945,-0.16790,0.09932,1,10,0,FALLBACK,-0.0032,0.100,0.8251,0,none
5.274,106,-0.29942,-0.16351,0.09198,1,10,0,FALLBACK,-0.0031,0.100,0.8296,0,none
5.324,107,-0.29944,-0.19188,0.12185,1,10,0,FALLBACK,-0.0027,0.100,0.8341,0,none
5.372,108,-0.29950,-0.19851,0.09797,1,10,0,FALLBACK,-0.0022,0.100,0.8385,0,none
5.425,109,-0.29959,-0.13755,0.11508,1,10,0,FALLBACK,-0.0015,0.100,0.8429,0,none
5.473,110,-0.29970,-0.15709,0.07461,1,10,0,FALLBACK,-0.0010,0.100,0.8472,0,none
5.524,111,-0.29981,-0.05046,0.08658,1,10,0,FALLBACK,-0.0004,0.100,0.8515,0,none
5.572,112,-0.29991,-0.02708,0.08126,1,10,0,FALLBACK,0.0001,0.100,0.8557,0,none
5.624,113,-0.30000,0.04036,0.09113,1,10,0,FALLBACK,0.0004,0.100,0.8599,0,none
5.658,114,-0.30005,-0.09184,0.09972,1,10,0,FALLBACK,0.0005,0.100,0.8641,0,none
