time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00070,0.29243,0.25317,0,0,0,MODEL,-0.5628,0.100,0.0000,0,none
0.058,1,0.00070,0.29243,0.25317,0,0,0,MODEL,-0.5628,0.100,0.0000,0,none
0.076,2,0.00070,0.29243,0.25317,0,0,0,MODEL,-0.5628,0.100,0.0000,0,none
0.125,3,0.00043,0.28930,0.23127,0,0,0,MODEL,-0.5598,0.100,0.0135,0,none
0.177,4,-0.00016,0.28044,0.24405,0,0,0,MODEL,-0.5514,0.100,0.0267,0,none
0.226,5,-0.00113,0.26913,0.24935,0,0,0,MODEL,-0.5407,0.100,0.0381,0,none
0.276,6,-0.00237,0.27383,0.25104,0,0,0,MODEL,-0.5451,0.100,0.0519,0,none
0.326,7,-0.00394,0.20816,0.23600,0,0,0,MODEL,-0.4828,0.100,0.0664,0,none
0.375,8,-0.00570,0.29942,0.23406,0,0,0,MODEL,-0.5695,0.100,0.0752,0,none
0.424,9,-0.00805,0.19909,0.23094,0,0,0,MODEL,-0.4741,0.100,0.0852,0,none
0.476,10,-0.01086,0.21551,0.19998,0,0,0,MODEL,-0.4897,0.100,0.0992,0,none
0.526,11,-0.01414,0.13284,0.26440,0,0,0,MODEL,-0.4112,0.100,0.1110,0,none
0.575,12,-0.01773,0.02713,0.24496,0,0,0,MODEL,-0.3108,0.100,0.1228,0,none
0.626,13,-0.02126,0.02072,0.24277,0,0,0,MODEL,-0.3047,0.100,0.1344,0,none
0.677,14,-0.02488,0.09999,0.18166,1,0,0,MODEL,-0.3800,0.100,0.1460,0,none
0.728,15,-0.02121,0.06518,0.17635,1,0,0,MODEL,-0.3469,0.100,0.1622,0,none
0.777,16,-0.03630,0.14949,0.19312,0,0,0,MODEL,-0.4270,0.100,0.1712,0,none
0.828,17,-0.04107,0.02405,0.19502,0,0,0,MODEL,-0.3078,0.100,0.1796,0,none
0.878,18,-0.04734,0.13719,0.17712,1,0,0,MODEL,-0.4153,0.100,0.1910,0,none
0.929,19,-0.05472,0.17974,0.16923,1,0,0,MODEL,-0.4558,0.100,0.2017,0,none
0.978,20,-0.06380,0.19147,0.14747,1,0,0,MODEL,-0.4669,0.100,0.2124,0,none
1.028,21,-0.07423,0.11664,0.16259,1,0,0,MODEL,-0.3958,0.100,0.2231,0,none
1.078,22,-0.08567,0.11581,0.14957,1,0,0,MODEL,-0.3950,0.100,0.2338,0,none
1.130,23,-0.09759,0.10073,0.14107,1,0,0,MODEL,-0.3807,0.100,0.2443,0,none
1.178,24,-0.11059,0.09758,0.14110,1,0,0,MODEL,-0.3777,0.100,0.2547,0,none
1.231,25,-0.12852,0.22689,0.23314,0,0,0,MODEL,-0.5005,0.100,0.2649,0,none
1.279,26,-0.14502,0.20338,0.24105,0,0,0,MODEL,-0.4782,0.100,0.2738,0,none
1.330,27,-0.15927,0.14261,0.29320,0,0,0,MODEL,-0.4205,0.100,0.2851,0,none
1.381,28,-0.17929,-0.03761,0.19087,1,0,0,MODEL,-0.2493,0.100,0.2950,0,none
1.430,29,-0.19915,0.07642,0.22318,0,0,0,MODEL,-0.3576,0.100,0.3050,0,none
1.478,30,-0.21952,-0.04174,0.15763,1,0,0,MODEL,-0.2454,0.100,0.3145,0,none
1.530,31,-0.23586,-0.09773,0.18863,1,0,0,MODEL,-0.1922,0.100,0.3235,0,none
1.580,32,-0.25777,-0.24501,0.12958,1,0,0,MODEL,-0.0522,0.100,0.3342,0,none
1.629,33,-0.28598,-0.22844,0.14155,1,0,0,MODEL,-0.0680,0.100,0.3436,0,none
1.680,34,-0.30659,-0.26203,0.14642,1,0,0,MODEL,-0.0361,0.100,0.3525,0,none
1.729,35,-0.32847,-0.27056,0.14304,1,0,0,MODEL,-0.0280,0.100,0.3618,0,none
1.780,36,-0.35078,-0.30016,0.15912,1,0,0,MODEL,0.0002,0.100,0.3710,0,none
1.831,37,-0.37554,-0.30224,0.14577,1,0,0,MODEL,0.0021,0.100,0.3843,0,none
1.880,38,-0.40285,-0.29443,0.15249,1,0,0,MODEL,-0.0053,0.100,0.3890,0,none
1.932,39,-0.42092,-0.29645,0.15104,1,0,0,MODEL,-0.0034,0.100,0.3987,0,none
1.981,40,-0.44432,-0.31701,0.14453,1,0,0,MODEL,0.0162,0.100,0.4069,0,none
2.032,41,-0.46887,-0.32321,0.13762,1,0,0,MODEL,0.0220,0.100,0.4158,0,none
2.086,42,-0.49350,-0.26564,0.14207,1,0,0,MODEL,-0.0326,0.100,0.4245,0,none
2.133,43,-0.51840,-0.26651,0.13612,1,0,0,MODEL,-0.0318,0.100,0.4330,0,none
2.183,44,-0.54472,-0.29037,0.13859,1,0,0,MODEL,-0.0092,0.100,0.4415,0,none
2.214,45,-0.57194,-0.27161,0.15639,1,0,0,MODEL,-0.0270,0.100,0.4499,0,none
2.266,46,-0.59961,-0.28659,0.15566,1,0,0,MODEL,-0.0127,0.100,0.4583,0,none
2.315,47,-0.62783,-0.16631,0.25114,0,0,0,MODEL,-0.1270,0.100,0.4665,0,none
2.365,48,-0.65817,-0.25887,0.19005,1,0,0,MODEL,-0.0391,0.100,0.4745,0,none
2.415,49,-0.68964,-0.15772,0.25883,0,0,0,MODEL,-0.1352,0.100,0.4826,0,none
2.467,50,-0.72243,-0.32566,0.21900,0,0,0,MODEL,0.0244,0.100,0.4904,0,none
2.518,51,-0.75519,-0.40760,0.30026,0,0,0,MODEL,0.1022,0.100,0.4982,0,none
2.566,52,-0.78547,-0.47427,0.17545,1,0,0,MODEL,0.1656,0.100,0.5060,0,none
2.618,53,-0.81367,-0.69099,0.10628,1,0,0,MODEL,0.3714,0.100,0.5136,0,none
2.667,54,-0.83706,-0.75207,0.09537,1,0,0,MODEL,0.4295,0.100,0.5204,0,none
2.718,55,-0.85482,-0.74839,0.10437,1,0,0,MODEL,0.4260,0.100,0.5277,0,none
2.766,56,-0.86892,-0.75253,0.12264,1,0,0,MODEL,0.4299,0.100,0.5351,0,none
2.818,57,-0.87982,-0.74400,0.11383,1,0,0,MODEL,0.4218,0.100,0.5425,0,none
2.867,58,-0.88746,-0.71627,0.12387,1,0,0,MODEL,0.3955,0.100,0.5498,0,none
2.916,59,-0.89219,-0.74924,0.13426,1,0,0,MODEL,0.4268,0.100,0.5572,0,none
2.968,60,-0.89337,-0.67707,0.12286,1,0,0,MODEL,0.3582,0.100,0.5642,0,none
3.018,61,-0.89117,-0.65957,0.14250,1,0,0,MODEL,0.3416,0.100,0.5715,0,none
3.068,62,-0.88704,-0.54558,0.15747,1,0,0,MODEL,0.2333,0.100,0.5786,0,none
3.118,63,-0.88182,-0.56297,0.15803,1,0,0,MODEL,0.2498,0.100,0.5858,0,none
3.167,64,-0.87534,-0.61615,0.09998,1,0,0,MODEL,0.3003,0.100,0.5927,0,none
3.219,65,-0.86532,-0.57610,0.14958,1,0,0,MODEL,0.2623,0.100,0.5994,0,none
3.268,66,-0.85218,-0.60684,0.12274,1,0,0,MODEL,0.2915,0.100,0.6062,0,none
3.319,67,-0.83619,-0.53365,0.07593,1,0,0,MODEL,0.2220,0.100,0.6128,0,none
3.368,68,-0.81784,-0.46044,0.12281,1,0,0,MODEL,0.1524,0.100,0.6196,0,none
3.420,69,-0.79904,-0.53379,0.07963,1,0,0,MODEL,0.2221,0.100,0.6263,0,none
3.470,70,-0.77805,-0.50326,0.11673,1,0,0,MODEL,0.1931,0.100,0.6325,0,none
3.520,71,-0.75408,-0.57453,0.10629,1,0,0,MODEL,0.2608,0.100,0.6392,0,none
