time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00279,0.29717,0.24577,0,0,0,MODEL,-0.5673,0.100,0.0000,0,none
0.041,1,0.00279,0.29932,0.24548,0,0,0,MODEL,-0.5694,0.100,0.0000,0,none
0.066,2,0.00278,0.29061,0.25146,0,0,0,MODEL,-0.5611,0.100,0.0105,0,none
0.119,3,0.00244,0.30937,0.24126,0,0,0,MODEL,-0.5789,0.100,0.0167,0,none
0.168,4,0.00217,0.32539,0.22742,0,0,0,MODEL,-0.5941,0.100,0.0279,0,none
0.218,5,0.00138,0.26158,0.25386,0,0,0,MODEL,-0.5335,0.100,0.0396,0,none
0.267,6,-0.00019,0.23787,0.24883,0,0,0,MODEL,-0.5110,0.100,0.0527,0,none
0.317,7,-0.00191,0.17630,0.22865,0,0,0,MODEL,-0.4525,0.100,0.0679,0,none
0.368,8,-0.00426,0.26379,0.21561,0,0,0,MODEL,-0.5356,0.100,0.0777,0,none
0.418,9,-0.00690,0.27197,0.28543,0,0,0,MODEL,-0.5434,0.100,0.0894,0,none
0.467,10,-0.01003,0.19166,0.21696,0,0,0,MODEL,-0.4671,0.100,0.1014,0,none
0.516,11,-0.01346,0.10520,0.25961,0,0,0,MODEL,-0.3849,0.100,0.1132,0,none
0.568,12,-0.01698,0.03202,0.22716,0,0,0,MODEL,-0.3154,0.100,0.1250,0,none
0.617,13,-0.02048,0.00772,0.21907,0,0,0,MODEL,-0.2923,0.100,0.1367,0,none
0.667,14,-0.02413,0.03901,0.16183,1,0,0,MODEL,-0.3221,0.100,0.1482,0,none
0.718,15,-0.01932,0.03656,0.15694,1,0,0,MODEL,-0.3197,0.100,0.1610,0,none
0.768,16,-0.03635,0.06505,0.16169,1,0,0,MODEL,-0.3468,0.100,0.1715,0,none
0.820,17,-0.03898,0.07950,0.16118,1,0,0,MODEL,-0.3605,0.100,0.1818,0,none
0.867,18,-0.04530,0.10320,0.15134,1,0,0,MODEL,-0.3830,0.100,0.1930,0,none
0.918,19,-0.05280,0.18905,0.16556,1,0,0,MODEL,-0.4646,0.100,0.2038,0,none
0.969,20,-0.06168,0.19691,0.14942,1,0,0,MODEL,-0.4721,0.100,0.2145,0,none
1.018,21,-0.07217,0.12088,0.16207,1,0,0,MODEL,-0.3998,0.100,0.2251,0,none
1.068,22,-0.08347,0.19301,0.17775,1,0,0,MODEL,-0.4684,0.100,0.2358,0,none
1.119,23,-0.09581,0.06113,0.16515,1,0,0,MODEL,-0.3431,0.100,0.2461,0,none
1.169,24,-0.10921,0.08779,0.12986,1,0,0,MODEL,-0.3684,0.100,0.2566,0,none
1.220,25,-0.12809,0.28774,0.26222,0,0,0,MODEL,-0.5584,0.100,0.2665,0,none
1.270,26,-0.14075,0.17475,0.20789,0,0,0,MODEL,-0.4510,0.100,0.2755,0,none
1.319,27,-0.15698,0.12252,0.28883,0,0,0,MODEL,-0.4014,0.100,0.2866,0,none
1.368,28,-0.17660,0.07883,0.25063,0,0,0,MODEL,-0.3599,0.100,0.2963,0,none
1.401,29,-0.19703,0.08457,0.19531,0,0,0,MODEL,-0.3653,0.100,0.3062,0,none
