cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
0.00076,0.28906,0.25474,0.23548,0.62069,0.11808,0.04201,0.32586,0.48323,-0.13748,0.27059,0.68619,0.24593
0.00076,0.29863,0.25519,0.25766,0.63415,0.12649,0.04889,0.34444,0.49101,-0.13478,0.27532,0.68667,0.25643
0.00076,0.27958,0.24587,0.22170,0.59075,0.11170,0.03797,0.30942,0.47658,-0.12509,0.28985,0.66656,0.21632
0.00069,0.32258,0.24369,0.31131,0.65085,0.18030,0.02727,0.33450,0.50796,-0.06953,0.34018,0.67911,0.26382
0.00051,0.31851,0.24621,0.31078,0.61449,0.13235,0.01506,0.30057,0.54103,-0.04112,0.32937,0.70599,0.27656
-0.00002,0.31360,0.25632,0.43979,0.47311,0.12236,-0.02153,0.40109,0.46027,-0.10378,0.18906,0.71383,0.46182
-0.00058,0.28537,0.26781,0.41520,0.47699,0.16582,0.01157,0.20217,0.51818,-0.21443,0.24025,0.71968,0.31828
-0.00125,0.21025,0.25814,0.13309,0.38918,0.13016,0.02043,0.06402,0.34626,-0.19765,0.19628,0.76797,0.25274
-0.00205,0.37706,0.21301,0.45319,0.42540,0.22246,0.07136,0.36254,0.48239,0.17153,0.25225,0.81999,0.50952
-0.00319,0.28667,0.31884,0.23599,0.43642,0.16508,-0.00039,0.31065,0.42522,-0.20927,0.19663,1.00690,0.29948
-0.00469,0.24370,0.23759,0.26894,0.37808,0.24091,0.01741,0.18182,0.33960,-0.06747,0.08099,0.79170,0.20507
-0.00654,0.15953,0.22550,0.16030,0.20721,0.19300,-0.03123,0.08281,0.25174,-0.09254,-0.02780,0.71132,0.14051
-0.00871,0.10028,0.28011,0.08318,-0.03650,0.17767,-0.05543,0.06115,0.23265,-0.25444,-0.09723,0.78805,0.10370
-0.01121,0.00939,0.21488,0.03110,-0.09645,0.13785,-0.10711,-0.04344,0.10591,-0.25942,-0.15036,0.52028,-0.04450
-0.01409,0.10456,0.22438,0.04230,0.03587,0.16554,-0.03055,0.17038,0.18545,-0.01971,-0.16915,0.66227,0.00319
-0.00835,0.09471,0.14671,0.00854,-0.08563,0.18192,0.03372,0.06819,0.20697,0.04287,-0.02012,0.43090,0.07977
-0.02319,0.01360,0.15513,-0.02515,-0.09715,0.19623,-0.08442,-0.00531,0.07591,-0.05795,-0.21212,0.32909,0.01684
-0.02559,0.06503,0.17952,0.00423,0.14276,0.19978,-0.10717,0.09602,0.04968,-0.05753,-0.17145,0.46392,0.03002
-0.03013,0.05264,0.16372,0.04681,0.08073,0.16459,-0.08112,0.05247,0.05919,-0.08887,-0.16730,0.42827,0.03160
-0.03534,0.19960,0.16397,0.26595,0.23113,0.43402,0.02118,0.11963,0.17174,0.02395,0.06226,0.50231,0.16387
-0.04106,0.20215,0.15924,0.17421,0.41046,0.28252,0.03196,0.15989,0.17600,0.00929,0.09135,0.51182,0.17396
-0.04734,0.19259,0.16031,0.16187,0.26110,0.44515,0.07209,0.20643,0.17588,-0.00327,-0.01327,0.44885,0.17103
-0.05421,0.15235,0.19257,0.10004,0.04368,0.37235,0.02730,0.23837,0.18203,-0.09813,-0.04284,0.53425,0.16645
-0.06172,0.11946,0.17071,0.09971,-0.01845,0.31354,0.02740,0.21384,0.18198,-0.12049,-0.07169,0.41743,0.15135
-0.06987,0.17114,0.20783,0.13369,0.17976,0.56784,-0.02464,0.24307,0.18937,-0.12320,-0.02350,0.41836,0.15060
-0.08251,0.27627,0.27614,0.30982,0.52514,0.76069,0.00617,0.33803,0.20719,-0.04879,-0.06739,0.54918,0.18270
-0.08912,0.18539,0.18988,0.35970,0.48810,0.27090,0.05373,0.05341,0.20184,-0.12869,0.01163,0.36227,0.18097
-0.09788,0.23013,0.19779,0.37900,0.49189,0.26372,0.10867,0.04826,0.21409,-0.03227,0.07425,0.57176,0.18195
