replicate,p
0,5.357962784e-07
1,1.413506933e-06
2,7.262444661e-07
3,4.40089738e-07
4,1.418923756e-06
5,5.640927847e-07
6,5.891050545e-07
7,1.37058622e-06
8,2.757066764e-07
9,2.001588428e-07
10,7.903308335e-07
11,1.42402286e-07
12,6.1713764e-07
13,2.518878906e-09
14,3.072055167e-08
15,3.629301792e-07
16,1.423518692e-08
17,4.876180608e-07
18,6.090791041e-07
19,1.826985325e-07
20,3.156713753e-07
21,8.829917879e-08
22,3.305190481e-07
23,8.467216422e-07
24,1.057531765e-07
25,5.327835705e-07
26,8.345020982e-07
27,2.512842933e-07
28,2.249019569e-07
29,1.743107337e-06
30,4.77412542e-07
31,6.076423174e-07
32,9.906642727e-07
33,2.18207802e-07
34,3.172373441e-07
35,1.067379642e-06
36,3.093509984e-07
37,5.309834244e-08
38,1.171469264e-07
39,5.864800932e-07
40,4.861328319e-08
41,1.723596489e-07
42,2.315153948e-06
43,1.527646335e-06
44,1.315071524e-06
45,3.267104905e-07
46,2.674256799e-07
47,4.692997203e-07
48,1.81700516e-07
49,1.234629501e-06
50,6.796813253e-07
51,1.056867215e-06
52,3.807505543e-07
53,7.018870395e-07
54,1.00026909e-07
55,7.326917746e-07
56,8.019394863e-08
57,2.112087876e-06
58,1.100301238e-07
59,1.075836255e-06
60,4.079701147e-07
61,2.492271385e-07
62,6.982476285e-08
63,3.396415599e-08
64,2.22633466e-07
65,4.193111852e-08
66,7.690621515e-07
67,1.327842904e-07
68,9.130508914e-07
69,1.029280994e-07
70,2.90304489e-07
71,6.090770791e-08
72,5.481050753e-07
73,1.7732357e-08
74,2.508960672e-07
75,1.334304766e-07
76,1.287708644e-07
77,4.585691226e-07
78,9.965938313e-07
79,6.172503009e-07
80,1.63991186e-07
81,5.642989431e-08
82,2.068649154e-07
83,7.885874765e-07
84,1.072014057e-06
85,4.457591157e-07
86,5.340234152e-07
87,1.851607531e-07
88,5.895236024e-09
89,1.943761883e-07
90,1.107997109e-06
91,1.448323471e-08
92,5.952053187e-07
93,1.166792766e-06
94,8.51212323e-08
95,6.580779162e-07
96,4.228058615e-07
97,1.726604589e-07
98,5.541490521e-08
99,4.441562067e-07
100,1.28923562e-06
101,2.711176758e-07
102,7.533029388e-08
103,4.878605771e-07
104,1.090488671e-06
105,1.331348464e-07
106,7.7655722e-07
107,2.087878969e-06
108,7.551255491e-09
109,3.971440224e-07
110,1.054496318e-06
111,7.063942971e-07
112,1.225825649e-07
113,2.377088892e-07
114,2.050992689e-07
115,1.527656706e-08
116,1.01482456e-07
117,1.811622245e-07
118,1.096040475e-07
119,1.368919816e-07
120,3.536936472e-07
121,2.99643936e-07
122,2.978198445e-07
123,8.432836277e-08
124,2.628001214e-07
125,6.914492732e-08
126,4.329436825e-07
127,2.08618388e-06
128,1.661459139e-07
129,1.575741738e-06
130,8.953711158e-08
131,6.152596828e-07
132,5.574563936e-07
133,1.128865745e-07
134,3.791860276e-07
135,5.340931456e-08
136,2.528029518e-07
137,2.734783933e-06
138,1.557039627e-06
139,7.633455244e-07
140,3.670611748e-07
141,1.437080346e-06
142,7.318764292e-07
143,1.990357571e-07
144,2.116527073e-07
145,1.367754751e-06
146,1.159622805e-07
147,9.343520208e-07
148,4.531236895e-08
149,1.433142214e-06
150,3.061859563e-07
151,4.679786281e-07
152,1.355661453e-07
153,9.899120026e-07
154,3.8726562e-07
155,1.529819349e-06
156,3.012417298e-07
157,7.616480615e-07
158,2.271860296e-07
159,7.41015032e-07
160,9.709732171e-08
161,8.554613372e-07
162,2.711182223e-08
163,1.321218354e-07
164,1.920282859e-07
165,2.982663676e-07
166,1.001333148e-06
167,2.3570242e-07
168,4.796373257e-07
169,4.356252315e-07
170,5.973852933e-07
171,5.436963953e-07
172,1.942605637e-08
173,3.438930701e-07
174,1.24030476e-07
175,1.268530229e-06
176,5.900373115e-07
177,3.496867202e-07
178,6.217307619e-07
179,4.678643698e-07
180,1.656800357e-07
181,4.140266273e-07
182,4.958228514e-07
183,1.258810113e-06
184,1.569948168e-07
185,6.461732031e-08
186,2.406946995e-07
187,1.282924237e-07
188,9.104641423e-07
189,1.395118343e-06
190,7.979562317e-07
191,3.797196929e-07
192,4.814386649e-07
193,5.082194896e-07
194,2.554020122e-08
195,1.835304028e-07
196,1.03170427e-07
197,3.030257463e-07
198,1.366069685e-07
199,3.346371426e-07
