replicate,p
0,0.9999987301
1,0.9999980097
2,0.9999985772
3,0.9999988084
4,0.9999979995
5,0.9999987082
6,0.9999986872
7,0.999998043
8,0.999998946
9,0.9999990074
10,0.9999985234
11,0.9999990551
12,0.9999986637
13,0.9999991704
14,0.9999991472
15,0.9999988725
16,0.9999991608
17,0.9999987708
18,0.9999986697
19,0.9999990226
20,0.9999989135
21,0.9999990995
22,0.9999989006
23,0.9999984776
24,0.9999990859
25,0.9999987327
26,0.9999984853
27,0.9999989664
28,0.9999989882
29,0.9999977316
30,0.9999987793
31,0.999998671
32,0.999998355
33,0.9999989929
34,0.999998912
35,0.9999982932
36,0.9999989194
37,0.999999129
38,0.9999990759
39,0.9999986906
40,0.9999991324
41,0.9999990309
42,0.9999972586
43,0.9999979139
44,0.9999980899
45,0.9999989045
46,0.9999989523
47,0.9999987866
48,0.9999990223
49,0.9999981515
50,0.9999986131
51,0.9999983037
52,0.9999988591
53,0.9999985941
54,0.9999990905
55,0.9999985705
56,0.9999991065
57,0.9999974306
58,0.9999990825
59,0.9999982852
60,0.9999988372
61,0.999998968
62,0.999999115
63,0.9999991446
64,0.9999989885
65,0.9999991378
66,0.9999985399
67,0.9999990636
68,0.999998421
69,0.9999990877
70,0.9999989339
71,0.9999991223
72,0.9999987247
73,0.9999991579
74,0.9999989671
75,0.9999990635
76,0.9999990666
77,0.9999987936
78,0.999998349
79,0.9999986643
80,0.9999990385
81,0.9999991261
82,0.999999002
83,0.9999985218
84,0.9999982884
85,0.9999988068
86,0.9999987342
87,0.99999902
88,0.9999991676
89,0.9999990128
90,0.9999982646
91,0.9999991606
92,0.9999986838
93,0.9999982129
94,0.9999991023
95,0.9999986302
96,0.9999988244
97,0.9999990308
98,0.999999127
99,0.9999988056
100,0.9999981086
101,0.9999989498
102,0.9999991106
103,0.9999987704
104,0.9999982719
105,0.9999990627
106,0.9999985301
107,0.9999974484
108,0.9999991663
109,0.9999988463
110,0.999998301
111,0.999998592
112,0.9999990713
113,0.9999989763
114,0.9999990032
115,0.9999991599
116,0.9999990889
117,0.9999990228
118,0.9999990826
119,0.9999990601
120,0.9999988827
121,0.9999989255
122,0.9999989283
123,0.9999991034
124,0.9999989555
125,0.9999991159
126,0.9999988157
127,0.9999974483
128,0.9999990367
129,0.9999978725
130,0.999999099
131,0.999998669
132,0.9999987129
133,0.9999990796
134,0.9999988596
135,0.9999991286
136,0.9999989645
137,0.9999969153
138,0.9999978901
139,0.9999985415
140,0.9999988688
141,0.9999979878
142,0.9999985685
143,0.9999990091
144,0.9999989999
145,0.999998042
146,0.9999990766
147,0.9999984044
148,0.9999991351
149,0.9999979955
150,0.9999989199
151,0.9999987887
152,0.9999990612
153,0.9999983555
154,0.9999988535
155,0.999997915
156,0.9999989254
157,0.9999985435
158,0.9999989851
159,0.9999985618
160,0.9999990927
161,0.999998469
162,0.9999991503
163,0.9999990644
164,0.9999990147
165,0.9999989264
166,0.9999983539
167,0.9999989791
168,0.9999987775
169,0.9999988131
170,0.9999986793
171,0.9999987242
172,0.9999991565
173,0.9999988889
174,0.9999990703
175,0.999998123
176,0.9999986867
177,0.9999988858
178,0.9999986606
179,0.9999987871
180,0.9999990364
181,0.9999988302
182,0.9999987628
183,0.9999981332
184,0.9999990431
185,0.9999991196
186,0.9999989745
187,0.9999990668
188,0.9999984203
189,0.9999980227
190,0.9999985134
191,0.9999988618
192,0.9999987792
193,0.9999987527
194,0.9999991516
195,0.9999990229
196,0.9999990874
197,0.999998922
198,0.9999990598
199,0.9999988967
