time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00053,-3.38458,0.66129,0,1,0,MODEL,0.0000,0.100,0.0000,0,none
0.043,1,0.00053,-3.39249,0.66342,0,2,0,MODEL,0.0000,0.100,0.0000,0,none
0.095,2,0.00059,-3.35830,0.64956,0,3,0,MODEL,0.0000,0.100,0.0093,0,none
0.143,3,0.00075,-3.32888,0.64259,0,4,0,MODEL,0.0000,0.100,0.0206,0,none
0.195,4,0.00110,-3.34387,0.66755,0,5,0,MODEL,0.0000,0.100,0.0339,0,none
0.244,5,0.00152,-3.36869,0.65823,0,6,0,MODEL,0.0000,0.100,0.0502,0,none
0.295,6,0.00206,-3.33482,0.66839,0,7,0,MODEL,0.0000,0.100,0.0600,0,none
0.345,7,0.00257,-3.36043,0.68755,0,8,0,MODEL,0.0000,0.100,0.0754,0,none
0.397,8,0.00319,-3.50322,0.68776,0,9,0,MODEL,0.0000,0.100,0.0873,0,none
0.445,9,0.00407,-3.43225,0.68164,0,10,0,FALLBACK,-1.0000,0.100,0.0970,0,none
0.494,10,0.00331,-3.41900,0.67592,0,10,0,FALLBACK,-1.0000,0.100,0.1067,0,none
0.547,11,-0.00191,-3.42915,0.63502,0,10,0,FALLBACK,-1.0000,0.100,0.1173,0,none
0.595,12,-0.00804,-3.25923,0.69032,0,10,0,FALLBACK,-1.0000,0.100,0.1287,0,none
0.646,13,-0.01514,-3.29231,0.66897,0,10,0,FALLBACK,-1.0000,0.100,0.1397,0,none
0.696,14,-0.02339,-3.23473,0.67128,0,10,0,FALLBACK,-1.0000,0.100,0.1505,0,none
0.748,15,-0.03289,-3.13776,0.67665,0,10,0,FALLBACK,-1.0000,0.100,0.1613,0,none
0.797,16,-0.04377,-3.07559,0.66444,0,10,0,FALLBACK,-1.0000,0.100,0.1719,0,none
0.848,17,-0.05616,-3.25882,0.70036,0,10,0,FALLBACK,-1.0000,0.100,0.1823,0,none
0.898,18,-0.07020,-3.02118,0.69377,0,10,0,FALLBACK,-1.0000,0.100,0.1927,0,none
0.949,19,-0.09193,-3.19554,0.82046,0,10,0,FALLBACK,-0.9317,0.100,0.2108,0,none
0.999,20,-0.11201,-3.01049,0.79518,0,10,0,FALLBACK,-0.8396,0.100,0.2134,0,none
1.045,21,-0.12083,-2.68539,1.16611,0,10,0,FALLBACK,-0.8518,0.100,0.2243,0,none
1.098,22,-0.14112,-2.52349,1.13261,0,10,0,FALLBACK,-0.6929,0.100,0.2345,0,none
1.149,23,-0.17609,-2.41311,1.28943,0,10,0,FALLBACK,-0.4447,0.100,0.2451,0,none
1.198,24,-0.19540,-2.54686,1.15180,0,10,0,FALLBACK,-0.4264,0.100,0.2557,0,none
1.249,25,-0.21439,-2.34472,1.12195,0,10,0,FALLBACK,-0.3331,0.100,0.2659,0,none
1.297,26,-0.23429,-2.07535,1.22477,0,10,0,FALLBACK,-0.2291,0.100,0.2762,0,none
1.347,27,-0.25421,-2.27884,1.10441,0,10,0,FALLBACK,-0.1293,0.100,0.2864,0,none
1.399,28,-0.27383,-2.33686,1.28138,0,10,0,FALLBACK,-0.0328,0.100,0.2964,0,none
1.448,29,-0.29291,-1.97065,1.28712,0,10,0,FALLBACK,0.0600,0.100,0.3063,0,none
1.499,30,-0.31119,-2.09833,1.34898,0,10,0,FALLBACK,0.1474,0.100,0.3160,0,none
1.548,31,-0.32839,-2.09419,1.28926,0,10,0,FALLBACK,0.2279,0.100,0.3256,0,none
1.598,32,-0.34423,-2.01319,1.31279,0,10,0,FALLBACK,0.3004,0.100,0.3351,0,none
1.648,33,-0.35847,-2.12843,1.16766,0,10,0,FALLBACK,0.3635,0.100,0.3444,0,none
1.700,34,-0.37087,-2.04078,1.13663,0,10,0,FALLBACK,0.4164,0.100,0.3537,0,none
1.749,35,-0.38125,-2.34344,1.05511,0,10,0,FALLBACK,0.4582,0.100,0.3628,0,none
1.799,36,-0.38946,-2.44865,0.91716,0,10,0,FALLBACK,0.4884,0.100,0.3718,0,none
1.851,37,-0.39540,-2.36511,0.95268,0,10,0,FALLBACK,0.5066,0.100,0.3808,0,none
1.901,38,-0.39900,-2.43980,0.90112,0,10,0,FALLBACK,0.5130,0.100,0.3897,0,none
1.949,39,-0.41030,-2.35623,1.04995,0,10,0,FALLBACK,0.6080,0.100,0.3985,0,none
2.000,40,-0.40647,-2.67748,1.08018,0,10,0,FALLBACK,0.5132,0.100,0.4068,0,none
2.051,41,-0.39947,-2.63443,1.31382,0,10,0,FALLBACK,0.4623,0.100,0.4157,0,none
2.102,42,-0.39112,-2.75531,1.20715,0,10,0,FALLBACK,0.4138,0.100,0.4244,0,none
2.152,43,-0.38121,-2.93298,1.29938,0,10,0,FALLBACK,0.3565,0.100,0.4331,0,none
2.201,44,-0.36994,-2.59308,1.38701,0,10,0,FALLBACK,0.2934,0.100,0.4416,0,none
2.250,45,-0.35768,-2.95289,1.15658,0,10,0,FALLBACK,0.2270,0.100,0.4502,0,none
2.299,46,-0.34481,-2.86440,1.18695,0,10,0,FALLBACK,0.1597,0.100,0.4586,0,none
2.352,47,-0.33226,-2.86286,1.18323,0,10,0,FALLBACK,0.0986,0.100,0.4669,0,none
2.400,48,-0.32020,-2.78838,1.24170,0,10,0,FALLBACK,0.0407,0.100,0.4751,0,none
2.453,49,-0.30871,-2.84017,1.09667,0,10,0,FALLBACK,-0.0139,0.100,0.4832,0,none
2.501,50,-0.29811,-2.96516,1.24888,0,10,0,FALLBACK,-0.0624,0.100,0.4912,0,none
2.551,51,-0.30574,-3.02282,1.22614,0,10,0,FALLBACK,0.0669,0.100,0.4991,0,none
2.601,52,-0.29084,-2.87652,1.17832,0,10,0,FALLBACK,-0.1203,0.100,0.5068,0,none
2.651,53,-0.27537,-2.91289,1.26646,0,10,0,FALLBACK,-0.2005,0.100,0.5142,0,none
2.703,54,-0.26396,-2.95408,1.25866,0,10,0,FALLBACK,-0.2372,0.100,0.5217,0,none
2.749,55,-0.25559,-2.98187,1.35982,0,10,0,FALLBACK,-0.2639,0.100,0.5292,0,none
2.802,56,-0.24979,-2.90404,1.25246,0,10,0,FALLBACK,-0.2800,0.100,0.5366,0,none
2.852,57,-0.24662,-2.82201,1.24314,0,10,0,FALLBACK,-0.2828,0.100,0.5440,0,none
2.884,58,-0.24598,-2.69958,1.18194,0,10,0,FALLBACK,-0.2733,0.100,0.5513,0,none
2.938,59,-0.24762,-2.86238,1.04256,0,10,0,FALLBACK,-0.2537,0.100,0.5586,0,none
2.988,60,-0.26370,-3.02457,1.00663,0,10,0,FALLBACK,-0.1011,0.100,0.5658,0,none
3.036,61,-0.26292,-3.10640,0.88663,0,10,0,FALLBACK,-0.1893,0.100,0.5730,0,none
3.087,62,-0.26271,-2.91791,1.06804,0,10,0,FALLBACK,-0.1875,0.100,0.5799,0,none
3.137,63,-0.26525,-2.94053,1.06960,0,10,0,FALLBACK,-0.1610,0.100,0.5869,0,none
3.186,64,-0.26919,-3.02562,1.08669,0,10,0,FALLBACK,-0.1343,0.100,0.5939,0,none
3.235,65,-0.27396,-2.91347,1.24916,0,10,0,FALLBACK,-0.1064,0.100,0.6007,0,none
