time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00245,-3.30722,0.66175,0,1,0,MODEL,0.0000,0.100,0.0000,0,none
0.043,1,0.00245,-3.30478,0.65874,0,2,0,MODEL,0.0000,0.100,0.0000,0,none
0.079,2,0.00248,-3.29617,0.69081,0,3,0,MODEL,0.0000,0.100,0.0104,0,none
0.128,3,0.00246,-3.28943,0.66677,0,4,0,MODEL,0.0000,0.100,0.0119,0,none
0.180,4,0.00279,-3.34231,0.68032,0,5,0,MODEL,0.0000,0.100,0.0259,0,none
0.227,5,0.00286,-3.40492,0.69906,0,6,0,MODEL,0.0000,0.100,0.0424,0,none
0.279,6,0.00288,-3.29805,0.69166,0,7,0,MODEL,0.0000,0.100,0.0517,0,none
0.329,7,0.00313,-3.38735,0.67339,0,8,0,MODEL,0.0000,0.100,0.0642,0,none
0.381,8,0.00309,-3.36531,0.68977,0,9,0,MODEL,0.0000,0.100,0.0784,0,none
0.430,9,0.00318,-3.33255,0.68238,0,10,0,FALLBACK,-1.0000,0.100,0.0887,0,none
0.464,10,0.00075,-3.33080,0.66262,0,10,0,FALLBACK,-1.0000,0.100,0.0979,0,none
0.512,11,-0.00509,-3.28050,0.68299,0,10,0,FALLBACK,-1.0000,0.100,0.1114,0,none
0.563,12,-0.01177,-3.18618,0.67683,0,10,0,FALLBACK,-1.0000,0.100,0.1220,0,none
0.612,13,-0.01953,-3.21948,0.70173,0,10,0,FALLBACK,-1.0000,0.100,0.1331,0,none
0.663,14,-0.02845,-3.20663,0.69441,0,10,0,FALLBACK,-1.0000,0.100,0.1440,0,none
0.713,15,-0.03867,-3.33868,0.75761,0,10,0,FALLBACK,-1.0000,0.100,0.1548,0,none
0.766,16,-0.05029,-3.16074,0.70671,0,10,0,FALLBACK,-1.0000,0.100,0.1655,0,none
0.814,17,-0.06344,-3.15615,0.71844,0,10,0,FALLBACK,-1.0000,0.100,0.1761,0,none
0.865,18,-0.07826,-2.98245,0.73908,0,10,0,FALLBACK,-1.0000,0.100,0.1865,0,none
0.912,19,-0.09488,-2.88573,0.83571,0,10,0,FALLBACK,-0.9425,0.100,0.1968,0,none
0.965,20,-0.12178,-3.17661,0.69472,0,10,0,FALLBACK,-0.7566,0.100,0.2073,0,none
1.015,21,-0.13673,-2.78494,0.93195,0,10,0,FALLBACK,-0.7416,0.100,0.2275,0,none
1.064,22,-0.14994,-2.89563,0.95107,0,10,0,FALLBACK,-0.6842,0.100,0.2284,0,none
1.114,23,-0.17141,-2.58851,1.09475,0,10,0,FALLBACK,-0.5356,0.100,0.2392,0,none
1.165,24,-0.19601,-2.27613,1.35761,0,10,0,FALLBACK,-0.3969,0.100,0.2498,0,none
1.214,25,-0.21746,-2.52158,0.97678,0,10,0,FALLBACK,-0.3055,0.100,0.2602,0,none
1.264,26,-0.23867,-2.12604,1.22538,0,10,0,FALLBACK,-0.2006,0.100,0.2706,0,none
1.314,27,-0.25987,-2.12113,1.10456,0,10,0,FALLBACK,-0.0947,0.100,0.2808,0,none
1.365,28,-0.28068,-2.33810,0.98553,0,10,0,FALLBACK,0.0075,0.100,0.2908,0,none
1.416,29,-0.30084,-2.56126,0.87916,0,10,0,FALLBACK,0.1050,0.100,0.3007,0,none
1.463,30,-0.32004,-2.09054,1.08311,0,10,0,FALLBACK,0.1962,0.100,0.3105,0,none
1.513,31,-0.33801,-2.24017,1.03754,0,10,0,FALLBACK,0.2799,0.100,0.3201,0,none
1.565,32,-0.35447,-2.38399,0.96961,0,10,0,FALLBACK,0.3546,0.100,0.3296,0,none
1.616,33,-0.36917,-2.58082,0.86313,0,10,0,FALLBACK,0.4194,0.100,0.3390,0,none
1.666,34,-0.38215,-1.87595,1.17157,0,10,0,FALLBACK,0.4756,0.100,0.3483,0,none
1.714,35,-0.39272,-2.02930,1.18977,0,10,0,FALLBACK,0.5165,0.100,0.3574,0,none
1.766,36,-0.40097,-2.03969,1.16867,0,10,0,FALLBACK,0.5461,0.100,0.3664,0,none
1.817,37,-0.40682,-2.54351,0.82820,0,10,0,FALLBACK,0.5633,0.100,0.3754,0,none
1.867,38,-0.41022,-2.81543,0.76553,0,10,0,FALLBACK,0.5682,0.100,0.3843,0,none
1.917,39,-0.41120,-2.58293,0.87375,0,10,0,FALLBACK,0.5609,0.100,0.3932,0,none
1.966,40,-0.40306,-2.51807,0.94029,0,10,0,FALLBACK,0.4746,0.100,0.4020,0,none
2.016,41,-0.40177,-2.73904,0.94633,0,10,0,FALLBACK,0.5025,0.100,0.4109,0,none
2.064,42,-0.39862,-2.92147,0.99186,0,10,0,FALLBACK,0.4774,0.100,0.4195,0,none
2.114,43,-0.39291,-2.59522,1.08492,0,10,0,FALLBACK,0.4360,0.100,0.4281,0,none
2.165,44,-0.38554,-2.79289,1.03296,0,10,0,FALLBACK,0.3909,0.100,0.4367,0,none
2.216,45,-0.37655,-3.09651,0.83322,0,10,0,FALLBACK,0.3378,0.100,0.4452,0,none
2.266,46,-0.36656,-2.96439,1.00999,0,10,0,FALLBACK,0.2829,0.100,0.4537,0,none
2.315,47,-0.35578,-2.92912,0.92005,0,10,0,FALLBACK,0.2249,0.100,0.4621,0,none
2.365,48,-0.34450,-2.91798,0.85932,0,10,0,FALLBACK,0.1661,0.100,0.4704,0,none
2.415,49,-0.33308,-2.93040,0.85036,0,10,0,FALLBACK,0.1083,0.100,0.4786,0,none
2.465,50,-0.32156,-2.76757,0.90163,0,10,0,FALLBACK,0.0502,0.100,0.4866,0,none
2.517,51,-0.31482,-3.03333,0.85498,0,10,0,FALLBACK,0.0404,0.100,0.4946,0,none
2.567,52,-0.30334,-3.09636,0.81679,0,10,0,FALLBACK,-0.0407,0.100,0.5025,0,none
2.617,53,-0.29275,-2.98820,0.81407,0,10,0,FALLBACK,-0.0892,0.100,0.5103,0,none
2.666,54,-0.28366,-3.08443,0.80478,0,10,0,FALLBACK,-0.1271,0.100,0.5179,0,none
2.717,55,-0.27641,-2.89908,0.91823,0,10,0,FALLBACK,-0.1542,0.100,0.5255,0,none
