time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00052,-3.25289,0.70959,0,0,0,MODEL,1.0000,0.100,0.0000,0,none
0.045,1,0.00052,-3.21061,0.71245,0,0,0,MODEL,1.0000,0.100,0.0000,0,none
0.080,2,0.00061,-3.27486,0.73498,0,0,0,MODEL,1.0000,0.100,0.0104,0,none
0.130,3,0.00105,-3.27610,0.71354,0,0,0,MODEL,1.0000,0.100,0.0143,0,none
0.176,4,0.00185,-3.24889,0.68358,0,0,0,MODEL,1.0000,0.100,0.0293,0,none
0.225,5,0.00355,-3.31871,0.68873,0,0,0,MODEL,1.0000,0.100,0.0379,0,none
0.278,6,0.00623,-3.29971,0.65568,0,0,0,MODEL,1.0000,0.100,0.0543,0,none
0.326,7,0.00955,-3.32770,0.65537,0,0,0,MODEL,1.0000,0.100,0.0639,0,none
0.380,8,0.01395,-3.33938,0.63902,0,0,0,MODEL,1.0000,0.100,0.0748,0,none
0.427,9,0.01860,-3.36002,0.71467,0,0,0,MODEL,1.0000,0.100,0.0872,0,none
0.477,10,0.02430,-3.42275,0.63750,0,0,0,MODEL,1.0000,0.100,0.0988,0,none
0.526,11,0.03116,-3.53082,0.67482,0,0,0,MODEL,1.0000,0.100,0.1096,0,none
0.579,12,0.03918,-3.54952,0.70251,0,0,0,MODEL,1.0000,0.100,0.1220,0,none
0.627,13,0.04835,-3.42956,0.70783,0,0,0,MODEL,1.0000,0.100,0.1327,0,none
0.675,14,0.05879,-3.37558,0.68644,0,0,0,MODEL,1.0000,0.100,0.1437,0,none
0.729,15,0.07060,-3.49310,0.75378,0,0,0,MODEL,1.0000,0.100,0.1546,0,none
0.779,16,0.08391,-3.64860,0.72690,0,0,0,MODEL,1.0000,0.100,0.1653,0,none
0.828,17,0.09884,-3.66842,0.72313,0,0,0,MODEL,1.0000,0.100,0.1759,0,none
0.880,18,0.11551,-3.85702,0.79229,0,0,0,MODEL,1.0000,0.100,0.1863,0,none
0.929,19,0.13407,-3.88733,0.78849,0,0,0,MODEL,1.0000,0.100,0.1967,0,none
0.979,20,0.16340,-3.69900,0.74906,0,0,0,MODEL,1.0000,0.100,0.2072,0,none
1.026,21,0.18560,-3.68440,0.76315,0,0,0,MODEL,1.0000,0.100,0.2174,0,none
1.078,22,0.20200,-3.97709,0.71815,0,0,0,MODEL,1.0000,0.100,0.2282,0,none
1.130,23,0.22929,-4.02528,0.71589,0,0,0,MODEL,1.0000,0.100,0.2372,0,none
1.179,24,0.27300,-4.04302,0.68029,0,0,0,MODEL,1.0000,0.100,0.2470,0,none
1.229,25,0.30456,-4.10469,0.73715,0,0,0,MODEL,1.0000,0.100,0.2566,0,none
1.277,26,0.33906,-4.10076,0.70772,0,0,0,MODEL,1.0000,0.100,0.2661,0,none
1.327,27,0.37663,-4.12811,0.76835,0,0,0,MODEL,1.0000,0.100,0.2756,0,none
1.379,28,0.41744,-4.03336,0.74872,0,0,0,MODEL,1.0000,0.100,0.2849,0,none
1.430,29,0.46167,-4.21600,0.74752,0,0,0,MODEL,1.0000,0.100,0.2941,0,none
1.478,30,0.50948,-4.27005,0.75383,0,0,0,MODEL,1.0000,0.100,0.3032,0,none
