time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00242,-3.30563,0.66278,0,0,0,MODEL,1.0000,0.100,0.0000,0,none
0.019,1,0.00242,-3.30289,0.66113,0,0,0,MODEL,1.0000,0.100,0.0000,0,none
0.069,2,0.00270,-3.28250,0.67463,0,0,0,MODEL,1.0000,0.100,0.0114,0,none
0.118,3,0.00365,-3.33016,0.67762,0,0,0,MODEL,1.0000,0.100,0.0242,0,none
0.170,4,0.00534,-3.36132,0.68264,0,0,0,MODEL,1.0000,0.100,0.0381,0,none
0.221,5,0.00801,-3.39852,0.68941,0,0,0,MODEL,1.0000,0.100,0.0511,0,none
0.271,6,0.01120,-3.37673,0.64478,0,0,0,MODEL,1.0000,0.100,0.0608,0,none
0.322,7,0.01517,-3.36634,0.63512,0,0,0,MODEL,1.0000,0.100,0.0742,0,none
0.371,8,0.02029,-3.41270,0.66722,0,0,0,MODEL,1.0000,0.100,0.0856,0,none
0.422,9,0.02604,-3.43312,0.63915,0,0,0,MODEL,1.0000,0.100,0.0929,0,none
0.471,10,0.03257,-3.52847,0.69799,0,0,0,MODEL,1.0000,0.100,0.1066,0,none
0.520,11,0.04012,-3.53054,0.67220,0,0,0,MODEL,1.0000,0.100,0.1164,0,none
0.572,12,0.04884,-3.45156,0.72914,0,0,0,MODEL,1.0000,0.100,0.1281,0,none
0.620,13,0.05878,-3.52418,0.71054,0,0,0,MODEL,1.0000,0.100,0.1392,0,none
0.672,14,0.07006,-3.60149,0.73067,0,0,0,MODEL,1.0000,0.100,0.1501,0,none
0.720,15,0.08277,-3.55020,0.73481,0,0,0,MODEL,1.0000,0.100,0.1608,0,none
0.772,16,0.09706,-3.64296,0.75585,0,0,0,MODEL,1.0000,0.100,0.1715,0,none
0.822,17,0.11305,-3.78299,0.78989,0,0,0,MODEL,1.0000,0.100,0.1820,0,none
0.873,18,0.13087,-3.83696,0.81008,0,0,0,MODEL,1.0000,0.100,0.1924,0,none
0.922,19,0.15833,-3.72150,0.77218,0,0,0,MODEL,1.0000,0.100,0.2065,0,none
0.973,20,0.18100,-3.80246,0.78372,0,0,0,MODEL,1.0000,0.100,0.2131,0,none
1.021,21,0.19911,-4.10677,0.66380,0,0,0,MODEL,1.0000,0.100,0.2303,0,none
1.071,22,0.22226,-4.03542,0.66695,0,0,0,MODEL,1.0000,0.100,0.2329,0,none
1.121,23,0.25191,-4.14837,0.66853,0,0,0,MODEL,1.0000,0.100,0.2429,0,none
1.171,24,0.28094,-4.10242,0.72911,0,0,0,MODEL,1.0000,0.100,0.2526,0,none
1.221,25,0.31608,-4.38107,0.74533,0,0,0,MODEL,1.0000,0.100,0.2622,0,none
1.271,26,0.35428,-4.29032,0.72647,0,0,0,MODEL,1.0000,0.100,0.2716,0,none
1.322,27,0.39571,-4.25193,0.72393,0,0,0,MODEL,1.0000,0.100,0.2810,0,none
1.373,28,0.44054,-4.31346,0.74583,0,0,0,MODEL,1.0000,0.100,0.2903,0,none
1.423,29,0.48891,-4.41450,0.77926,0,0,0,MODEL,1.0000,0.100,0.2994,0,none
1.473,30,0.54101,-4.39346,0.80877,0,0,0,MODEL,1.0000,0.100,0.3085,0,none
1.521,31,0.59698,-4.44668,0.83348,0,0,0,MODEL,1.0000,0.100,0.3174,0,none
1.571,32,0.65700,-4.49866,0.81552,0,0,0,MODEL,1.0000,0.100,0.3263,0,none
1.622,33,0.72121,-4.60932,0.86018,0,0,0,MODEL,1.0000,0.100,0.3350,0,none
1.673,34,0.78977,-4.52757,0.86518,0,0,0,MODEL,1.0000,0.100,0.3437,0,none
1.724,35,0.86284,-4.31498,0.80526,0,0,0,MODEL,1.0000,0.100,0.3522,0,none
1.772,36,0.94055,-4.33877,0.80329,0,0,0,MODEL,1.0000,0.100,0.3607,0,none
1.823,37,1.02304,-4.14958,0.79666,0,0,0,MODEL,1.0000,0.100,0.3690,0,none
1.873,38,1.11045,-4.04698,0.86725,0,0,0,MODEL,1.0000,0.100,0.3773,0,none
1.922,39,1.20290,-3.91587,0.86863,0,0,0,MODEL,1.0000,0.100,0.3855,0,none
1.974,40,1.30051,-3.82734,0.82524,0,0,0,MODEL,1.0000,0.100,0.3936,0,none
2.024,41,1.40339,-3.77972,0.80634,0,0,0,MODEL,1.0000,0.100,0.4015,0,none
2.073,42,1.51837,-3.52787,0.75562,0,0,0,MODEL,1.0000,0.100,0.4094,0,none
2.125,43,1.63103,-3.12454,0.68278,0,0,0,MODEL,1.0000,0.100,0.4173,0,none
2.174,44,1.74922,-2.72535,0.54060,0,0,0,MODEL,1.0000,0.100,0.4250,0,none
2.224,45,1.88136,-2.30618,0.50087,0,0,0,MODEL,1.0000,0.100,0.4342,0,none
2.275,46,2.01123,-1.62942,0.43207,0,0,0,MODEL,1.0000,0.100,0.4399,0,none
2.323,47,2.14677,-1.17740,0.42448,0,0,0,MODEL,0.8335,0.100,0.4477,0,none
2.376,48,2.28739,-1.10007,0.40199,0,0,0,MODEL,0.7601,0.100,0.4561,0,none
2.425,49,2.43171,-0.75951,0.34795,0,0,0,MODEL,0.4365,0.100,0.4644,0,none
2.476,50,2.57883,-0.51213,0.29029,0,0,0,MODEL,0.2015,0.100,0.4731,0,none
2.523,51,2.72541,-0.29692,0.29315,0,0,0,MODEL,-0.0029,0.100,0.4875,0,none
2.573,52,2.86951,-0.12685,0.21675,0,0,0,MODEL,-0.1645,0.100,0.4898,0,none
2.624,53,3.01673,-0.15606,0.24914,0,0,0,MODEL,-0.1367,0.100,0.4955,0,none
2.676,54,3.16574,-0.13600,0.23092,0,0,0,MODEL,-0.1558,0.100,0.5056,0,none
2.724,55,3.31386,-0.11235,0.19548,0,0,0,MODEL,-0.1783,0.100,0.5129,0,none
2.773,56,3.46312,-0.16830,0.23391,0,0,0,MODEL,-0.1251,0.100,0.5206,0,none
2.824,57,3.61383,-0.17413,0.24574,0,0,0,MODEL,-0.1196,0.100,0.5282,0,none
2.877,58,3.76287,-0.17184,0.26979,0,0,0,MODEL,-0.1217,0.100,0.5358,0,none
2.926,59,3.91220,-0.20992,0.32945,0,0,0,MODEL,-0.0856,0.100,0.5413,0,none
2.976,60,4.06608,-0.23566,0.35515,0,0,0,MODEL,-0.0611,0.100,0.5510,0,none
3.025,61,4.22515,-0.17205,0.26809,0,0,0,MODEL,-0.1216,0.100,0.5579,0,none
3.074,62,4.38564,-0.23906,0.32769,0,0,0,MODEL,-0.0579,0.100,0.5651,0,none
3.124,63,4.54723,-0.13930,0.25911,0,0,0,MODEL,-0.1527,0.100,0.5722,0,none
3.175,64,4.71036,-0.17170,0.28101,0,0,0,MODEL,-0.1219,0.100,0.5791,0,none
3.225,65,4.87368,-0.19521,0.28141,0,0,0,MODEL,-0.0996,0.100,0.5862,0,none
3.274,66,5.03858,-0.18071,0.30871,0,0,0,MODEL,-0.1133,0.100,0.5931,0,none
3.326,67,5.20490,-0.10263,0.23279,0,0,0,MODEL,-0.1875,0.100,0.6000,0,none
3.378,68,5.37153,-0.16249,0.24258,0,0,0,MODEL,-0.1306,0.100,0.6066,0,none
3.428,69,5.53818,-0.15661,0.28278,0,0,0,MODEL,-0.1362,0.100,0.6134,0,none
3.478,70,5.71260,-0.13546,0.25344,0,0,0,MODEL,-0.1563,0.100,0.6200,0,none
3.526,71,5.87983,-0.12871,0.29829,0,0,0,MODEL,-0.1627,0.100,0.6276,0,none
3.576,72,6.04669,-0.16495,0.27456,0,0,0,MODEL,-0.1283,0.100,0.6333,0,none
3.628,73,6.21433,-0.17914,0.29607,0,0,0,MODEL,-0.1148,0.100,0.6395,0,none
3.678,74,6.38314,-0.20699,0.31286,0,0,0,MODEL,-0.0884,0.100,0.6460,0,none
3.726,75,6.55305,-0.14989,0.25852,0,0,0,MODEL,-0.1426,0.100,0.6523,0,none
3.778,76,6.72390,-0.18979,0.28395,0,0,0,MODEL,-0.1047,0.100,0.6585,0,none
3.827,77,6.89454,-0.15103,0.23477,0,0,0,MODEL,-0.1415,0.100,0.6647,0,none
3.878,78,7.06592,-0.16782,0.26532,0,0,0,MODEL,-0.1256,0.100,0.6708,0,none
3.927,79,7.23711,-0.27022,0.30383,0,0,0,MODEL,-0.0283,0.100,0.6768,0,none
3.976,80,7.42044,-0.25251,0.30097,0,0,0,MODEL,-0.0451,0.100,0.6829,0,none
4.028,81,7.59238,-0.25908,0.29652,0,0,0,MODEL,-0.0389,0.100,0.6888,0,none
4.079,82,7.76508,-0.24665,0.29299,0,0,0,MODEL,-0.0507,0.100,0.6947,0,none
4.128,83,7.93883,-0.31320,0.34103,0,0,0,MODEL,0.0125,0.100,0.7005,0,none
