cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
0.00058,-3.35574,0.73695,-2.42157,-4.06136,-4.94834,-2.65125,-3.28344,-3.75919,-3.16859,-2.88171,-3.15545,-3.22652
0.00058,-3.33765,0.73061,-2.43646,-4.03203,-4.92957,-2.64467,-3.21785,-3.74690,-3.15198,-2.86163,-3.15227,-3.20313
0.00062,-3.38435,0.74494,-2.45241,-4.07681,-5.02014,-2.69814,-3.29461,-3.77148,-3.19227,-2.87730,-3.21873,-3.24162
0.00059,-3.24877,0.73415,-2.24675,-3.95448,-4.85926,-2.67551,-3.18011,-3.57921,-3.09975,-2.79094,-3.01689,-3.08477
0.00038,-3.21748,0.70428,-2.17597,-3.78928,-4.74600,-2.67042,-3.16433,-3.64811,-3.03284,-2.87182,-2.96576,-3.11029
0.00005,-3.13193,0.70222,-2.16952,-3.55900,-4.73455,-2.60603,-2.98976,-3.59240,-3.02110,-2.69730,-3.00330,-2.94637
-0.00078,-3.12845,0.71463,-2.14618,-3.60851,-4.75864,-2.62179,-3.01690,-3.58036,-2.98385,-2.72293,-2.92706,-2.91824
-0.00184,-3.16911,0.71698,-2.08329,-3.63473,-4.76878,-2.64022,-3.16947,-3.58512,-3.03344,-2.80494,-3.00215,-2.96895
-0.00315,-3.15288,0.66560,-2.18683,-3.66699,-4.59589,-2.60867,-3.14042,-3.55257,-3.11032,-2.72483,-2.98242,-2.95990
-0.00475,-3.16646,0.72019,-2.20777,-3.70530,-4.82704,-2.64223,-3.06574,-3.53184,-3.04801,-2.76198,-2.94179,-2.93286
-0.00662,-3.25394,0.74230,-2.24430,-3.77740,-4.91099,-2.64530,-3.27564,-3.71534,-3.12386,-2.79043,-3.06209,-2.99404
-0.00880,-3.18517,0.73527,-2.19769,-3.63998,-4.87820,-2.64870,-3.09242,-3.65340,-3.01259,-2.76643,-3.06266,-2.89964
-0.01128,-3.25754,0.74257,-2.24937,-3.73776,-4.95656,-2.70255,-3.26633,-3.70475,-3.10057,-2.84886,-3.02740,-2.98125
-0.01408,-3.18449,0.70262,-2.21946,-3.66225,-4.78961,-2.69108,-3.11088,-3.60313,-3.03444,-2.76827,-3.03771,-2.92810
-0.02310,-3.30454,0.74341,-2.30750,-4.30076,-4.72044,-2.60674,-3.21534,-3.72180,-3.21295,-2.96757,-2.96886,-3.02346
-0.02117,-3.22989,0.74292,-2.41163,-3.86328,-4.60720,-2.01451,-3.35629,-3.61299,-3.55397,-2.86147,-2.90583,-3.11172
