replicate,p
0,0.9920953279
1,0.9899728685
2,0.9938265859
3,0.9938847845
4,0.9748764916
5,0.9930054033
6,0.9978492804
7,0.9920867866
8,0.9962706289
9,0.9988724989
10,0.9940919028
11,0.9849528397
12,0.9855106148
13,0.9823739884
14,0.992662691
15,0.993436378
16,0.9976510127
17,0.9729427693
18,0.9938441908
19,0.9957188199
20,0.9907456078
21,0.996564956
22,0.9955054491
23,0.9969303716
24,0.9938950364
25,0.9943725312
26,0.9974734183
27,0.9958198706
28,0.9964336581
29,0.998732795
30,0.9931811334
31,0.9963014691
32,0.9942021784
33,0.996605116
34,0.9946140821
35,0.9941483351
36,0.9947168852
37,0.9984972824
38,0.997214688
39,0.996236747
40,0.9966921157
41,0.9950263846
42,0.99530177
43,0.9944235862
44,0.9953028112
45,0.994814321
46,0.9977994108
47,0.996720557
48,0.9932017773
49,0.9989120582
50,0.9954168201
51,0.9930311442
52,0.98810525
53,0.9884765499
54,0.9989125194
55,0.9969163157
56,0.9888934101
57,0.9899111873
58,0.9963736373
59,0.9961707887
60,0.997755325
61,0.9904684914
62,0.9987919394
63,0.9965086241
64,0.9973630688
65,0.9956821946
66,0.9960421622
67,0.994976032
68,0.9865973744
69,0.9981168127
70,0.9944897559
71,0.9906305452
72,0.9956759763
73,0.988769416
74,0.9965247229
75,0.9977179843
76,0.9946400644
77,0.9983768062
78,0.9983222007
79,0.9889242098
80,0.9975342916
81,0.9981100038
82,0.9937894536
83,0.9917709195
84,0.9911291713
85,0.9876635197
86,0.9947838755
87,0.9885600836
88,0.9927918287
89,0.9938883796
90,0.9909196219
91,0.9957419559
92,0.9979871256
93,0.996705954
94,0.9972165529
95,0.9969534481
96,0.9940990876
97,0.9954717269
98,0.9943784113
99,0.9974586689
100,0.9959283851
101,0.997907246
102,0.9979954656
103,0.9962737085
104,0.9929740441
105,0.9954389089
106,0.9912013744
107,0.9920427995
108,0.991141102
109,0.9975804095
110,0.989658486
111,0.9869907487
112,0.9975214074
113,0.9978970219
114,0.99639866
115,0.9903188779
116,0.9845422338
117,0.992910905
118,0.9859796145
119,0.9957941686
120,0.9959480798
121,0.9931911459
122,0.9929499091
123,0.995845325
124,0.9835203802
125,0.9919588974
126,0.9949397579
127,0.9978135801
128,0.9954700385
129,0.997130726
130,0.9981530802
131,0.9922958321
132,0.9829750068
133,0.9938728425
134,0.9978572083
135,0.9925551489
136,0.980263999
137,0.9975686869
138,0.9942970476
139,0.9943883089
140,0.9930471319
141,0.9960230303
142,0.9968456317
143,0.9982232652
144,0.9935467276
145,0.9940063273
146,0.9987751427
147,0.9887715699
148,0.9903604191
149,0.9976980589
150,0.9907614097
151,0.9653224092
152,0.9934363473
153,0.9916478684
154,0.9936066764
155,0.9946541368
156,0.988065237
157,0.9968554589
158,0.9945435417
159,0.997066122
160,0.9945404189
161,0.9874441602
162,0.9893633566
163,0.9964208298
164,0.9926908118
165,0.9931906442
166,0.996017343
167,0.996138362
168,0.9892088285
169,0.9993451261
170,0.994900198
171,0.9950685255
172,0.9902682313
173,0.9960462368
174,0.9991270288
175,0.9978192216
176,0.9949571574
177,0.9940101217
178,0.9840895128
179,0.9986899491
180,0.9947995922
181,0.9979358094
182,0.9993403673
183,0.9939435701
184,0.9984175779
185,0.9888740042
186,0.9975777129
187,0.9983430913
188,0.9974049516
189,0.9992232416
190,0.9820757584
191,0.9867712163
192,0.9922068393
193,0.9964136513
194,0.9944301454
195,0.9963928954
196,0.9967164793
197,0.9973390984
198,0.9954840695
199,0.9937365675
