replicate,p
0,0.9999987967
1,0.9999988357
2,0.9999992702
3,0.999999047
4,0.9999987139
5,0.9999986527
6,0.9999988233
7,0.9999986535
8,0.9999990913
9,0.9999988404
10,0.9999987468
11,0.999998721
12,0.9999986012
13,0.9999992775
14,0.999998772
15,0.99999916
16,0.99999931
17,0.9999991647
18,0.9999991366
19,0.9999992928
20,0.9999987448
21,0.9999992933
22,0.9999991622
23,0.9999991921
24,0.9999984651
25,0.9999993592
26,0.9999983023
27,0.9999986833
28,0.9999986817
29,0.9999991805
30,0.999999404
31,0.9999991301
32,0.9999993031
33,0.9999983326
34,0.9999984628
35,0.9999991552
36,0.9999985866
37,0.9999989454
38,0.9999988246
39,0.9999993077
40,0.9999990288
41,0.9999987792
42,0.9999987492
43,0.999998008
44,0.9999990864
45,0.9999989624
46,0.9999989936
47,0.9999980354
48,0.9999989591
49,0.9999985507
50,0.9999988588
51,0.9999985682
52,0.9999992202
53,0.9999985098
54,0.999998532
55,0.9999989515
56,0.9999984917
57,0.9999984739
58,0.9999987295
59,0.9999978659
60,0.9999991516
61,0.9999989975
62,0.9999990774
63,0.9999990879
64,0.9999982455
65,0.9999984033
66,0.9999993121
67,0.9999992198
68,0.9999981339
69,0.9999987758
70,0.9999990621
71,0.9999987294
72,0.999999262
73,0.9999990559
74,0.9999992436
75,0.9999984376
76,0.9999989546
77,0.9999988779
78,0.9999992091
79,0.9999986991
80,0.9999988271
81,0.9999986325
82,0.9999980947
83,0.9999990283
84,0.9999978105
85,0.999998703
86,0.999998377
87,0.9999987676
88,0.9999986999
89,0.9999983118
90,0.9999993627
91,0.9999988392
92,0.9999988943
93,0.9999984797
94,0.9999986074
95,0.999999052
96,0.9999988229
97,0.9999986939
98,0.999997814
99,0.9999991242
100,0.9999982606
101,0.9999992536
102,0.9999978086
103,0.9999991388
104,0.9999990086
105,0.999998746
106,0.999998979
107,0.9999987172
108,0.9999989568
109,0.9999982431
110,0.99999815
111,0.9999992098
112,0.9999989102
113,0.9999991896
114,0.9999988599
115,0.9999989025
116,0.9999983652
117,0.9999990498
118,0.9999990528
119,0.9999989678
120,0.9999984005
121,0.9999989872
122,0.9999991573
123,0.9999993601
124,0.9999985394
125,0.9999978685
126,0.9999986205
127,0.9999993017
128,0.9999987884
129,0.9999988032
130,0.9999990967
131,0.9999980367
132,0.99999843
133,0.9999991871
134,0.9999994158
135,0.9999984807
136,0.9999991123
137,0.9999987568
138,0.9999980439
139,0.9999985485
140,0.9999985567
141,0.9999991633
142,0.9999989016
143,0.9999991191
144,0.9999981414
145,0.9999994068
146,0.9999991876
147,0.9999993384
148,0.9999986486
149,0.9999992098
150,0.9999991291
151,0.9999988395
152,0.9999988103
153,0.9999986998
154,0.9999981365
155,0.9999988556
156,0.9999992915
157,0.999998094
158,0.999998647
159,0.9999984546
160,0.999999366
161,0.9999983128
162,0.9999979106
163,0.9999981773
164,0.9999989734
165,0.9999979499
166,0.999998961
167,0.9999989795
168,0.9999987717
169,0.9999990011
170,0.9999982065
171,0.9999993083
172,0.999998299
173,0.9999990163
174,0.9999984823
175,0.9999982497
176,0.9999989728
177,0.9999990968
178,0.9999987291
179,0.9999989747
180,0.9999985069
181,0.9999990455
182,0.9999980015
183,0.9999987681
184,0.9999992848
185,0.9999987066
186,0.9999974725
187,0.9999978447
188,0.9999991976
189,0.9999988847
190,0.9999990489
191,0.9999985718
192,0.9999992295
193,0.9999984583
194,0.9999982465
195,0.9999988728
196,0.999998389
197,0.9999988067
198,0.9999979974
199,0.9999990063
