time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,1.93832,0.53188,1.12800,0,1,0,MODEL,0.0000,0.100,0.0002,0,none
0.019,1,1.93832,0.56088,1.17286,0,2,0,MODEL,0.0000,0.100,0.0000,0,none
0.057,2,1.93832,0.83239,1.02655,0,3,0,MODEL,0.0000,0.100,0.0058,0,none
0.106,3,1.93871,0.67858,1.13581,0,4,0,MODEL,0.0000,0.100,0.0181,0,none
0.158,4,1.93879,0.60279,1.12787,0,5,0,MODEL,0.0000,0.100,0.0253,0,none
0.207,5,1.93881,0.54580,1.12333,0,6,0,MODEL,0.0000,0.100,0.0394,0,none
0.259,6,1.93881,0.37498,1.10712,0,7,0,MODEL,0.0000,0.100,0.0567,0,none
0.308,7,1.93884,0.38701,1.00714,0,8,0,MODEL,0.0000,0.100,0.0682,0,none
0.358,8,1.93884,0.66797,0.90649,0,9,0,MODEL,0.0000,0.100,0.0807,0,none
0.411,9,1.93867,0.75852,0.97970,0,10,0,FALLBACK,-1.0000,0.100,0.0933,0,none
0.459,10,1.93673,0.46935,0.83875,0,10,0,FALLBACK,-1.0000,0.100,0.1026,0,none
0.508,11,1.93035,0.59862,1.17576,0,10,0,FALLBACK,-1.0000,0.100,0.1127,0,none
0.561,12,1.92296,0.40555,1.09866,0,10,0,FALLBACK,-1.0000,0.100,0.1243,0,none
0.610,13,1.91924,0.41833,1.24505,0,10,0,FALLBACK,-1.0000,0.100,0.1353,0,none
0.659,14,1.90920,0.47681,1.21900,0,10,0,FALLBACK,-1.0000,0.100,0.1462,0,none
0.713,15,1.89779,0.45176,1.34685,0,10,0,FALLBACK,-1.0000,0.100,0.1570,0,none
0.760,16,1.88488,0.16208,1.38316,0,10,0,FALLBACK,-1.0000,0.100,0.1676,0,none
0.808,17,1.87036,0.02147,1.27525,0,10,0,FALLBACK,-1.0000,0.100,0.1782,0,none
0.860,18,1.85408,0.05515,1.28334,0,10,0,FALLBACK,-1.0000,0.100,0.1886,0,none
0.911,19,1.83592,0.10682,1.20859,0,10,0,FALLBACK,-1.0000,0.100,0.1988,0,none
0.962,20,1.81572,0.06019,1.24650,0,10,0,FALLBACK,-1.0000,0.100,0.2090,0,none
1.013,21,1.79335,-0.23077,0.89243,0,10,0,FALLBACK,-1.0000,0.100,0.2190,0,none
1.061,22,1.76866,-0.10615,1.22786,0,10,0,FALLBACK,-1.0000,0.100,0.2290,0,none
