time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,1.93829,0.54875,1.14999,0,0,0,MODEL,-0.8063,0.100,0.0006,0,none
0.018,1,1.93832,0.55036,1.17204,0,0,0,MODEL,-0.8078,0.100,0.0000,0,none
0.068,2,1.93810,0.54426,1.14448,0,0,0,MODEL,-0.8020,0.100,0.0083,0,none
0.119,3,1.93750,0.41374,1.20895,0,0,0,MODEL,-0.6781,0.100,0.0189,0,none
0.170,4,1.93622,0.36392,1.10792,0,0,0,MODEL,-0.6307,0.100,0.0349,0,none
0.222,5,1.93514,0.34021,1.07642,0,0,0,MODEL,-0.6082,0.100,0.0465,0,none
0.267,6,1.93349,0.45590,1.14860,0,0,0,MODEL,-0.7181,0.100,0.0606,0,none
0.321,7,1.93098,0.42432,1.00635,0,0,0,MODEL,-0.6881,0.100,0.0683,0,none
0.371,8,1.92763,0.61976,0.87359,0,0,0,MODEL,-0.8738,0.100,0.0819,0,none
0.421,9,1.92360,0.55647,0.96441,0,0,0,MODEL,-0.8136,0.100,0.0945,0,none
0.470,10,1.91841,0.53372,1.00391,0,0,0,MODEL,-0.7920,0.100,0.1054,0,none
0.520,11,1.91267,0.69212,1.30981,0,0,0,MODEL,-0.9425,0.100,0.1166,0,none
0.573,12,1.90558,0.65734,1.44783,0,0,0,MODEL,-0.9095,0.100,0.1278,0,none
0.622,13,1.90162,0.44442,1.34863,0,0,0,MODEL,-0.7072,0.100,0.1390,0,none
0.670,14,1.89208,0.46637,1.22433,0,0,0,MODEL,-0.7280,0.100,0.1504,0,none
0.721,15,1.88246,0.41060,1.45464,0,0,0,MODEL,-0.6751,0.100,0.1616,0,none
0.771,16,1.87171,0.31660,1.37253,0,0,0,MODEL,-0.5858,0.100,0.1727,0,none
0.821,17,1.86017,-0.17021,1.20326,0,0,0,MODEL,-0.1233,0.100,0.1838,0,none
0.872,18,1.85026,0.17697,1.23772,0,0,0,MODEL,-0.4531,0.100,0.1947,0,none
0.922,19,1.84124,0.36157,1.09735,0,0,0,MODEL,-0.6285,0.100,0.2050,0,none
0.971,20,1.82834,0.47363,1.30392,0,0,0,MODEL,-0.7350,0.100,0.2154,0,none
1.022,21,1.81174,-0.03216,1.29576,0,0,0,MODEL,-0.2545,0.100,0.2255,0,none
1.071,22,1.79321,0.12522,1.06062,0,0,0,MODEL,-0.4040,0.100,0.2359,0,none
