cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
1.93833,0.56047,1.13236,-1.28405,1.26958,1.93555,2.30931,-0.21810,-0.00350,0.11014,-0.17788,1.48995,0.17366
1.93832,0.55785,1.15320,-1.39405,1.25249,1.92577,2.32606,-0.20641,0.04030,0.10713,-0.17386,1.52762,0.17349
1.93832,0.54396,1.14900,-1.40603,1.24238,1.88163,2.30074,-0.21371,0.03279,0.08573,-0.19003,1.53888,0.16724
1.93767,0.51436,1.21451,-1.50561,1.38803,1.97133,2.36599,-0.21943,-0.01694,-0.15131,-0.27399,1.44090,0.14460
1.93668,0.52304,1.20234,-1.54234,1.35412,1.92637,2.28579,-0.19301,-0.02703,-0.08418,-0.15877,1.58783,0.08161
1.93508,0.59775,1.13293,-1.23525,1.39139,1.92348,2.31864,-0.15461,0.21512,-0.04478,-0.18179,1.56504,0.18024
1.93278,0.47284,1.08323,-1.24669,1.30145,1.65960,2.06106,-0.15429,0.11079,-0.16333,-0.38881,1.52694,0.02162
1.92970,0.31057,0.99560,-0.93284,1.22701,1.36333,1.74000,-0.27402,-0.14842,-0.32339,-0.75162,1.35450,-0.14889
1.92575,0.16163,0.88182,-1.03792,1.02242,1.52410,0.81406,-0.56441,-0.11304,-0.20866,-0.77514,1.07739,-0.12249
1.92048,0.10866,1.01672,-1.25278,0.90699,1.70152,1.23672,-0.81514,-0.38828,-0.38591,-0.84416,0.96272,-0.03507
1.91466,0.58394,1.15153,-1.30678,1.24522,2.09243,2.11984,-0.16768,0.33605,0.35337,-0.74308,1.48962,0.42045
1.90773,0.72628,1.20059,-1.20537,1.32436,2.52629,2.03762,0.17758,0.32603,0.98307,-0.78943,1.65088,0.23175
1.89970,0.47316,1.25696,-1.18617,1.41632,2.35390,1.98665,-0.35160,0.01342,0.00596,-1.04035,1.53349,0.00004
1.89043,0.45833,1.32412,-1.00687,1.21251,2.45207,2.43509,-0.64910,-0.07366,-0.35232,-0.82712,1.48666,-0.09401
1.88449,0.14416,1.35207,-1.10437,-0.27101,2.53270,2.05528,-1.18872,-0.23414,-0.41453,-1.07716,1.37022,-0.22669
1.87218,0.36985,1.26666,-0.95951,0.52880,2.28961,2.34842,-0.79427,-0.54053,0.74121,-0.93870,1.20914,-0.18566
1.85833,0.03421,1.29642,-1.18314,-0.63989,2.28267,2.17975,-1.01712,-0.84485,-0.02923,-0.98570,0.77872,-0.19908
1.84281,0.01941,1.11451,-0.77315,-0.41962,2.25872,1.70431,-0.81938,-0.63127,-0.69156,-0.77286,0.48540,-0.14650
1.82551,0.17474,1.47247,-1.14092,-0.14438,2.58275,2.93709,-0.95028,-0.92494,0.00810,-0.78281,0.71964,-0.55683
1.80628,-0.23618,1.14806,-1.57560,-0.63833,2.00081,1.24259,-0.87755,-1.04944,0.68996,-0.76358,-0.48853,-0.90210
1.78499,-0.10306,0.97553,-0.72900,-0.12908,2.04823,1.16645,-0.97018,-0.82893,-0.14592,-0.86726,-0.27839,-0.29652
1.76150,-0.60811,0.72414,-1.10371,-1.13479,0.63215,0.72766,-1.26077,-0.96402,-0.50984,-1.14235,-0.76322,-0.56221
1.73567,-0.47362,0.88520,-1.21575,-1.27181,-0.05915,0.92453,-0.99403,-0.87883,1.19382,-1.09688,-0.83851,-0.49962
1.70733,-0.14941,1.20850,-1.57089,-1.45433,-0.08579,1.72892,-0.81212,-0.99370,1.96048,0.33491,-0.25325,-0.34837
1.67635,-0.30959,1.28239,-1.61724,-1.47633,-0.17950,2.25076,-1.22231,-0.80846,1.65458,-0.64048,-0.45125,-0.60570
1.64257,-0.27249,1.69841,-1.66524,-1.62830,-0.49154,3.19187,-0.92662,-1.16720,2.49527,-0.52474,-0.76943,-1.23895
1.60582,-0.44632,1.50291,-1.68715,-1.44579,-0.20423,3.31706,-1.22044,-1.21645,0.80626,-0.70486,-1.02072,-1.08687
1.56595,-0.70157,1.24079,-1.38442,-1.25798,-1.05775,1.96210,-1.33109,-1.23226,1.26493,-1.63254,-1.14761,-1.19910
1.52279,-0.76923,1.13455,-1.58760,-1.43051,-0.92899,1.88709,-1.28061,-1.43111,0.64945,-1.23220,-1.44294,-0.89490
1.47619,-1.04090,1.04170,-1.80739,-1.97132,-0.92221,1.62868,-1.31289,-1.30659,-0.34198,-1.55313,-1.37291,-1.44923
1.42599,-0.87875,0.95685,-1.35251,-1.07948,-0.85147,1.46176,-1.29573,-1.37079,0.10613,-1.67480,-1.32408,-1.40653
1.37202,-1.27175,0.25583,-1.40615,-1.05660,-0.99220,-0.81065,-1.54456,-1.57254,-1.51108,-1.32149,-1.31603,-1.18614
1.31414,-1.40446,0.56920,-1.72400,-1.77088,-1.28620,-1.05103,-2.01520,-1.61104,0.03416,-1.54654,-1.53166,-1.54218
1.25218,-1.27077,0.25709,-1.20306,-1.26489,-0.87044,-1.25748,-1.63755,-1.44141,-1.27490,-1.66146,-0.96325,-1.13325
1.18600,-1.21581,0.27617,-1.12139,-1.12246,-1.54366,-1.08214,-1.35679,-1.22485,-1.49868,-0.56816,-1.35394,-1.28606
1.12159,-1.31951,0.56941,-1.37855,-1.35810,-1.75353,-1.32228,-1.88823,-1.49215,-1.36076,0.20914,-1.49797,-1.35262
1.04547,-1.28621,0.27375,-1.27258,-1.23453,-1.52905,-0.81518,-1.57195,-1.71246,-1.41755,-1.14401,-1.02387,-1.14090
0.96468,-1.24775,0.26482,-1.08458,-1.05234,-1.32323,-1.00242,-1.44210,-1.21365,-1.61858,-1.70834,-0.96805,-1.06426
0.87909,-1.50628,0.51556,-1.27837,-2.08243,-1.60210,-0.31019,-1.94378,-1.65365,-1.70697,-1.81731,-1.05202,-1.61598
0.78858,-1.71275,0.36589,-1.56274,-2.28757,-2.09309,-1.77680,-2.23081,-1.54004,-1.50391,-1.36018,-1.27713,-1.49527
0.69302,-1.33915,0.35566,-1.27523,-1.45863,-1.80801,-1.44729,-1.84560,-1.33318,-1.30480,-0.61885,-1.29214,-1.00776
0.59250,-1.07361,0.74105,0.25246,-1.40325,-1.82216,0.09355,-1.69638,-1.36172,-1.43418,-1.59722,-0.56310,-1.20409
0.48828,-1.71096,0.32859,-1.49146,-2.06391,-2.23451,-1.45305,-2.13657,-1.76086,-1.48441,-1.43008,-1.33103,-1.72369
0.37999,-1.89917,0.30091,-1.52378,-2.15768,-2.34386,-2.22207,-1.93972,-1.82192,-1.64189,-2.00087,-1.42919,-1.91070
0.26822,-1.80530,0.17135,-1.49948,-1.79288,-2.14435,-1.69528,-1.95881,-1.82379,-1.72492,-1.86014,-1.71159,-1.84180
0.15365,-2.01275,0.32512,-1.25431,-2.14275,-2.57385,-1.89986,-1.92573,-2.02383,-2.13518,-2.01474,-2.06718,-2.09009
0.03644,-2.07279,0.38973,-1.56040,-2.38942,-2.77792,-1.61039,-2.18782,-2.19695,-1.63001,-1.92633,-2.20060,-2.24803
-0.08335,-2.17285,0.33237,-2.22495,-2.49778,-2.92447,-2.24676,-1.77241,-2.02024,-1.89567,-2.07577,-2.09757,-1.97289
-0.20547,-2.26664,0.30742,-2.48158,-2.57576,-2.86265,-2.30787,-1.96378,-2.19661,-2.01174,-1.83682,-2.20562,-2.22394
-0.32901,-2.50950,0.37292,-2.36981,-3.14076,-3.22991,-2.44549,-2.25970,-2.36082,-2.12162,-2.43695,-2.24557,-2.48435
-0.45056,-2.71223,0.48047,-2.80877,-3.68625,-3.33515,-2.55348,-2.29014,-2.63708,-2.19641,-2.61461,-2.22000,-2.78040
-0.57473,-2.80349,0.50917,-2.66388,-3.93099,-3.30205,-2.64967,-2.49976,-2.84472,-2.29348,-2.61699,-2.22194,-3.01142
-0.69831,-2.95594,0.54684,-2.84214,-4.15808,-3.51819,-2.73122,-2.76104,-2.98330,-2.35391,-2.64328,-2.39126,-3.17695
-0.81992,-3.00886,0.55614,-2.71184,-4.31082,-3.49156,-2.76939,-2.89343,-3.03033,-2.52080,-2.65235,-2.47789,-3.23014
-0.93890,-3.03067,0.54455,-2.59048,-4.26318,-3.56956,-2.85183,-2.91571,-3.05452,-2.56120,-2.66604,-2.57019,-3.26399
-1.05487,-3.02662,0.51426,-2.70458,-4.23362,-3.48292,-2.91360,-2.87380,-3.03298,-2.59446,-2.64359,-2.57221,-3.21443
-1.16661,-3.08882,0.48352,-2.98241,-4.22927,-3.42360,-3.00171,-2.87759,-3.11089,-2.60539,-2.69351,-2.65433,-3.30945
-1.27246,-3.13098,0.48829,-2.99478,-4.28100,-3.52790,-3.06493,-2.90625,-3.12199,-2.65215,-2.78156,-2.67267,-3.30660
-1.37162,-3.14129,0.46234,-3.22534,-4.20422,-3.47436,-3.09705,-2.81909,-3.10905,-2.67474,-2.77796,-2.70908,-3.32203
-1.46376,-3.08781,0.48527,-3.07184,-4.20981,-3.41621,-3.03269,-2.54353,-3.12667,-2.63699,-2.85925,-2.69290,-3.28821
-1.54850,-3.14573,0.46417,-3.27197,-4.24542,-3.41912,-3.07156,-2.75036,-3.18469,-2.64223,-2.88797,-2.75906,-3.22488
-1.62252,-3.19860,0.41846,-3.31558,-4.18743,-3.45242,-3.01244,-3.08050,-3.27521,-2.64096,-3.01538,-2.85371,-3.15237
-1.69569,-3.31173,0.40986,-3.35890,-4.27714,-3.56531,-3.11804,-3.23494,-3.45520,-2.73147,-3.16245,-3.05027,-3.16355
-1.76178,-3.18996,0.41692,-3.32769,-3.91341,-3.62234,-3.07591,-2.58562,-3.49055,-2.61380,-3.06204,-3.06254,-3.14567
-1.82044,-3.38966,0.44257,-3.65788,-4.14962,-3.75578,-3.13883,-2.88655,-3.72463,-2.69969,-3.35987,-3.11794,-3.40583
-1.87130,-3.30013,0.42851,-3.36594,-3.95205,-3.75661,-3.13052,-2.81161,-3.63560,-2.50817,-3.34563,-3.24008,-3.25513
-1.91400,-3.37811,0.40853,-3.28395,-3.95290,-3.83233,-3.28648,-3.01633,-3.72131,-2.58390,-3.21970,-3.57508,-3.30915
-1.94821,-3.45602,0.50570,-3.27745,-4.00521,-3.86344,-3.62922,-2.81911,-3.92110,-2.47895,-3.23893,-3.84004,-3.48672
-1.97360,-3.39286,0.89624,-4.05492,-3.85624,-3.92455,-3.70978,-1.23211,-3.94150,-2.46100,-3.18062,-3.73999,-3.82793
-1.98672,-3.66884,0.57792,-4.55183,-3.85949,-4.01958,-3.96694,-3.10078,-3.99226,-2.75094,-2.97183,-3.41103,-4.06374
-1.99480,-3.70222,0.54088,-4.46538,-4.06904,-4.06270,-3.92114,-3.10349,-4.12201,-2.80440,-3.16299,-3.42948,-3.88156
-1.99319,-3.61713,0.71550,-4.72280,-4.46849,-4.00430,-3.38023,-2.72181,-4.13802,-2.56586,-3.12468,-3.43424,-3.61084
-1.98158,-3.58772,0.67137,-4.48363,-4.50931,-4.03932,-2.95111,-2.84194,-4.15200,-2.68713,-3.44674,-3.32779,-3.43823
-1.95974,-3.10571,1.39241,-4.36123,-4.30756,-3.78579,0.41881,-2.70812,-4.22830,-2.79597,-2.95867,-3.18534,-3.14495
-1.92744,-3.05753,1.66639,-4.33998,-4.20698,-3.64365,1.48426,-3.26725,-3.87285,-2.86845,-3.60540,-3.13487,-3.12014
-1.88447,-2.97382,2.01087,-4.89653,-3.85569,-3.83696,2.50775,-3.43723,-3.49016,-2.79177,-3.72610,-3.17656,-3.03498
